,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),AEP,19639.5,19639.5,16792.0,14918.5,15561.4
Cost of revenue(figures in $M),AEP,8347.3,8347.3,6588.1,5380.1,6320.0
Gross profit(figures in $M),AEP,11292.2,11292.2,10203.9,9538.4,9241.4
Total operating expenses(figures in $M),AEP,7513.7,7513.7,6781.0,6550.7,6492.7
Operating income or loss(figures in $M),AEP,3778.5,3778.5,3422.9,2987.7,2748.7
Interest expense(figures in $M),AEP,1396.1,1396.1,1199.1,1165.7,1072.5
Total other income/expenses net(figures in $M),AEP,38.0,38.0,288.1,324.1,158.6
Income before tax(figures in $M),AEP,2420.4,2420.4,2511.9,2146.1,1834.8
Income tax expense(figures in $M),AEP,5.4,5.4,115.5,40.5,-12.9
Income from continuing operations(figures in $M),AEP,2305.6,2305.6,2488.1,2196.7,1919.8
Net income(figures in $M),AEP,2307.2,2307.2,2488.1,2200.1,1921.1
Net income available to common shareholders(figures in $M),AEP,2307.2,2307.2,2488.1,2200.1,1921.1
Basic EPS(figures in $M),AEP,,4.51e-06,4.97e-06,4.440000000000001e-06,3.89e-06
Diluted EPS(figures in $M),AEP,,4.49e-06,4.96e-06,4.42e-06,3.88e-06
Basic average shares(figures in $M),AEP,,511.842,500.522,495.718,493.694
Diluted average shares(figures in $M),AEP,,513.485,501.784,497.227,495.306
EBITDA(figures in $M),AEP,,7102.2,6757.4,6218.6,5647.4
