,ticker,2023,2024,2025,2026,2027
Revenue(In $M),AEP,"18,669","19,251","20,020","20,753","21,738"
Dividend,AEP,3.36,3.55,3.76,3.92,4.20
Dividend Yield (in %),AEP,3.70 %,3.91 %,4.16 %,4.34 %,4.81 %
EPS,AEP,-,-,5.98,6.32,6.84
P/E Ratio,AEP,17.57,16.49,15.23,14.40,13.31
EBIT(In $M),AEP,"4,303","4,606","5,085","5,420","5,788"
EBITDA(In $M),AEP,"7,435","7,909","8,478","8,836","8,587"
Net Profit(In $M),AEP,"2,730","2,965","3,186","3,414","3,762"
Net Profit Adjusted(In $M),AEP,"2,742","2,959","3,168","3,432","3,769"
Pre-Tax Profit(In $M),AEP,"2,997","3,258","3,495","3,709","4,083"
Net Profit (Adjusted)(In $M),AEP,"3,297","3,632","3,852",-,-
EPS (Non-GAAP) ex. SOE(In $),AEP,-,-,5.98,6.32,6.84
EPS (GAAP)(In $),AEP,5.28,5.61,5.93,6.25,6.81
Gross Income(In $M),AEP,"13,728","14,400","15,129","15,516","16,261"
Cash Flow from Investing(In $M),AEP,"-5,292","-8,599","-9,865","-7,607","-7,185"
Cash Flow from Operations(In $M),AEP,"5,974","6,485","6,956","7,786","8,011"
Cash Flow from Financing(In $M),AEP,172,"1,672","2,064",127,-688
Cash Flow per Share(In $),AEP,11.00,11.76,12.13,11.86,12.49
Free Cash Flow(In $M),AEP,437,"-1,265","-1,588",-,-
Free Cash Flow per Share(In $),AEP,-2.83,-6.61,-7.65,-2.11,-0.12
Book Value per Share(In $),AEP,49.98,52.16,54.07,-,-
Net Debt(In $M),AEP,"39,871","44,344","49,032","53,544","54,966"
Research & Development Exp.(In $M),AEP,-,-,-,-,-
Capital Expenditure(In $M),AEP,"6,959","8,843","9,017","7,409","7,309"
"Selling, General & Admin. Exp.(In $M)",AEP,"6,824","6,859","6,861",-,-
Shareholder’s Equity(In $M),AEP,"26,041","27,424","28,809","30,900","27,053"
Total Assets(In $M),AEP,"95,546","101,099","107,363","111,069","114,443"
