,ticker,2023,2024,2025,2026,2027
Revenue(In $M),MCO,"5,873","6,507","7,146","7,785","8,022"
Dividend,MCO,2.79,3.03,3.38,5.43,-
Dividend Yield (in %),MCO,1.05 %,1.13 %,1.33 %,1.76 %,-
EPS,MCO,9.72,11.26,13.12,14.94,16.35
P/E Ratio,MCO,30.92,26.70,22.92,20.12,18.38
EBIT(In $M),MCO,"2,398","2,822","3,232","3,488","3,727"
EBITDA(In $M),MCO,"2,616","3,033","3,437","3,782","3,882"
Net Profit(In $M),MCO,"1,631","1,924","2,263","2,483","2,648"
Net Profit Adjusted(In $M),MCO,"1,801","2,025","2,318","2,647","2,783"
Pre-Tax Profit(In $M),MCO,"2,024","2,453","2,890","3,228","3,511"
Net Profit (Adjusted)(In $M),MCO,"1,924","2,397","2,817","3,235",-
EPS (Non-GAAP) ex. SOE(In $),MCO,9.72,11.26,13.12,14.94,16.35
EPS (GAAP)(In $),MCO,8.73,10.37,12.31,14.02,15.55
Gross Income(In $M),MCO,"4,185","4,728","5,271",-,-
Cash Flow from Investing(In $M),MCO,-224,-288,-191,-,-
Cash Flow from Operations(In $M),MCO,"1,859","2,294","2,677","2,703","2,938"
Cash Flow from Financing(In $M),MCO,-992,"-1,781","-3,228",-,-
Cash Flow per Share(In $),MCO,10.17,12.36,14.93,-,-
Free Cash Flow(In $M),MCO,"1,598","1,996","2,429","2,555","2,537"
Free Cash Flow per Share(In $),MCO,8.76,11.14,15.04,-,-
Book Value per Share(In $),MCO,19.70,23.02,23.93,-,-
Net Debt(In $M),MCO,"5,411","5,042","4,632","1,835",-
Research & Development Exp.(In $M),MCO,-,-,-,-,-
Capital Expenditure(In $M),MCO,285,312,278,373,400
"Selling, General & Admin. Exp.(In $M)",MCO,"1,575","1,681","1,772","1,814","1,906"
Shareholder’s Equity(In $M),MCO,"3,723","4,522","4,878",-,-
Total Assets(In $M),MCO,"15,396","16,337",-,-,-
