,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),MCO,5468.0,5468.0,6218.0,5371.0,4829.0
Cost of revenue(figures in $M),MCO,1613.0,1613.0,1637.0,1475.0,1387.0
Gross profit(figures in $M),MCO,3855.0,3855.0,4581.0,3896.0,3442.0
Selling general and administrative(figures in $M),MCO,1527.0,1527.0,1480.0,1229.0,1167.0
Total operating expenses(figures in $M),MCO,1858.0,1858.0,1737.0,1449.0,1367.0
Operating income or loss(figures in $M),MCO,1997.0,1997.0,2844.0,2447.0,2075.0
Interest expense(figures in $M),MCO,246.0,246.0,201.0,216.0,225.0
Total other income/expenses net(figures in $M),MCO,-6.0,-6.0,82.0,-13.0,-57.0
Income before tax(figures in $M),MCO,1760.0,1760.0,2755.0,2229.0,1810.0
Income tax expense(figures in $M),MCO,386.0,386.0,541.0,452.0,381.0
Income from continuing operations(figures in $M),MCO,1374.0,1374.0,2214.0,1777.0,1429.0
Net income(figures in $M),MCO,1374.0,1374.0,2214.0,1778.0,1422.0
Net income available to common shareholders(figures in $M),MCO,1374.0,1374.0,2214.0,1778.0,1422.0
Basic EPS(figures in $M),MCO,,7.47e-06,1.1880000000000001e-05,9.48e-06,7.51e-06
Diluted EPS(figures in $M),MCO,,7.440000000000001e-06,1.1779999999999999e-05,9.39e-06,7.42e-06
Basic average shares(figures in $M),MCO,,183.9,186.4,187.6,189.3
Diluted average shares(figures in $M),MCO,,184.7,187.9,189.3,191.6
EBITDA(figures in $M),MCO,,2337.0,3213.0,2665.0,2235.0
