,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),ETR,13764.237,13764.237,11742.896,10113.636,10878.673
Cost of revenue(figures in $M),ETR,8488.886,8488.886,6871.03,5655.422,6699.806
Gross profit(figures in $M),ETR,5275.351,5275.351,4871.866,4458.214,4178.867
Total operating expenses(figures in $M),ETR,3388.04,3388.04,2762.615,2662.396,2498.343
Operating income or loss(figures in $M),ETR,1887.311,1887.311,2109.251,1795.818,1680.524
Interest expense(figures in $M),ETR,987.818,987.818,834.694,785.663,742.425
Total other income/expenses net(figures in $M),ETR,158.667,158.667,-394.93,-117.826,-397.592
Income before tax(figures in $M),ETR,1058.16,1058.16,1310.093,1285.147,1088.419
Income tax expense(figures in $M),ETR,-38.978,-38.978,191.374,-121.506,-169.825
Income from continuing operations(figures in $M),ETR,1097.138,1097.138,1118.719,1406.653,1258.244
Net income(figures in $M),ETR,1097.138,1097.138,1118.719,1406.653,1258.244
Net income available to common shareholders(figures in $M),ETR,1103.166,1103.166,1118.492,1388.334,1241.226
Basic EPS(figures in $M),ETR,,5.4e-06,5.57e-06,6.9400000000000005e-06,6.36e-06
Diluted EPS(figures in $M),ETR,,5.37e-06,5.54e-06,6.9e-06,6.3e-06
Basic average shares(figures in $M),ETR,,204.45,200.942,200.107,195.196
Diluted average shares(figures in $M),ETR,,205.548,201.873,201.102,196.999
EBITDA(figures in $M),ETR,,4236.349,4387.731,4328.56,4013.157
