,ticker,2023,2024,2025,2026,2027
Revenue(In $M),BEAM,63,62,63,73,244
Dividend,BEAM,0.00,0.00,0.00,-,-
Dividend Yield (in %),BEAM,-,-,-,-,-
EPS,BEAM,-5.34,-5.66,-5.78,-6.18,-4.23
P/E Ratio,BEAM,-6.02,-5.69,-5.57,-5.21,-7.60
EBIT(In $M),BEAM,-387,-437,-495,-579,-394
EBITDA(In $M),BEAM,-353,-375,-447,-,-
Net Profit(In $M),BEAM,-380,-428,-487,-573,-392
Net Profit Adjusted(In $M),BEAM,-360,-377,-455,-391,-
Pre-Tax Profit(In $M),BEAM,-384,-428,-487,-573,-392
Net Profit (Adjusted)(In $M),BEAM,-340,-375,-481,-471,-413
EPS (Non-GAAP) ex. SOE(In $),BEAM,-5.07,-5.53,-6.30,-7.03,-
EPS (GAAP)(In $),BEAM,-5.72,-6.18,-6.32,-6.96,-5.09
Gross Income(In $M),BEAM,61,55,54,66,219
Cash Flow from Investing(In $M),BEAM,232,78,-16,-25,-25
Cash Flow from Operations(In $M),BEAM,-341,-378,-459,-530,-319
Cash Flow from Financing(In $M),BEAM,137,227,157,0,0
Cash Flow per Share(In $),BEAM,-4.73,-4.40,-6.16,-,-
Free Cash Flow(In $M),BEAM,-375,-389,-476,-391,-344
Free Cash Flow per Share(In $),BEAM,-,-,-,-,-
Book Value per Share(In $),BEAM,8.79,8.85,5.05,-,-
Net Debt(In $M),BEAM,-532,-382,-,-,-
Research & Development Exp.(In $M),BEAM,361,412,440,485,437
Capital Expenditure(In $M),BEAM,38,37,38,42,25
"Selling, General & Admin. Exp.(In $M)",BEAM,94,110,129,164,176
Shareholder’s Equity(In $M),BEAM,536,409,363,331,-958
Total Assets(In $M),BEAM,"1,033",767,543,-37,-361
