,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),-289.088,-289.088,-370.638,-194.592,-78.326,BEAM
Depreciation & amortisation(figures in $M),14.147,14.147,7.451,4.735,3.503,BEAM
Stock-based compensation(figures in $M),84.321,84.321,43.57,15.38,7.028,BEAM
Change in working capital(figures in $M),251.628,251.628,111.254,5.347,-10.705,BEAM
Accounts payable(figures in $M),2.373,2.373,0.818,0.06,4.092,BEAM
Other working capital(figures in $M),-26.424,-26.424,-113.079,-112.098,-84.521,BEAM
Other non-cash items(figures in $M),-10.471,-10.471,158.86,9.871,2.017,BEAM
Net cash provided by operating activities(figures in $M),22.527,22.527,-66.268,-95.741,-72.003,BEAM
"Investments in property, plant and equipment(figures in $M)",-48.951,-48.951,-46.811,-16.357,-12.518,BEAM
Purchases of investments(figures in $M),-1616.999,-1616.999,-777.223,-282.362,-130.21,BEAM
Sales/maturities of investments(figures in $M),1204.614,1204.614,529.27,198.596,76.069,BEAM
Net cash used for investing activities(figures in $M),-461.336,-461.336,-294.144,-100.123,-66.659,BEAM
Debt repayment(figures in $M),-2.287,-2.287,-2.118,-1.569,-0.464,BEAM
Common stock issued(figures in $M),108.258,108.258,757.449,319.528,0.0,BEAM
Other financing activities(figures in $M),-0.188,-0.188,-8.816,-2.059,-2.521,BEAM
Net cash used provided by (used for) financing activities(figures in $M),111.59,111.59,756.141,322.322,41.279,BEAM
Net change in cash(figures in $M),-327.219,-327.219,395.729,126.458,-97.383,BEAM
Cash at beginning of period(figures in $M),572.74,572.74,177.011,50.553,147.936,BEAM
Cash at end of period(figures in $M),245.521,245.521,572.74,177.011,50.553,BEAM
Operating cash flow(figures in $M),22.527,22.527,-66.268,-95.741,-72.003,BEAM
Capital expenditure(figures in $M),-48.951,-48.951,-46.811,-16.357,-12.518,BEAM
Free cash flow(figures in $M),-26.424,-26.424,-113.079,-112.098,-84.521,BEAM
