,ticker,2023,2024,2025,2026,2027
Revenue(In $M),PXD,-,"21,720","22,552",-,"19,809"
Dividend,PXD,-,5.27,5.56,-,-
Dividend Yield (in %),PXD,2.85 %,2.33 %,2.38 %,3.11 %,-
EPS,PXD,-,23.05,22.64,-,22.95
P/E Ratio,PXD,8.07,9.03,9.19,7.71,9.07
EBIT(In $M),PXD,-,"7,590","7,213",-,"6,677"
EBITDA(In $M),PXD,-,"10,401","10,304",-,"10,021"
Net Profit(In $M),PXD,-,"5,606","5,487",-,"5,119"
Net Profit Adjusted(In $M),PXD,-,"5,587","5,491",-,"5,119"
Pre-Tax Profit(In $M),PXD,-,"7,257","7,078",-,"6,434"
Net Profit (Adjusted)(In $M),PXD,-,"7,313","7,106",-,"6,434"
EPS (Non-GAAP) ex. SOE(In $),PXD,-,23.05,22.64,-,22.95
EPS (GAAP)(In $),PXD,-,23.80,22.61,-,22.61
Gross Income(In $M),PXD,-,"10,491","10,423",-,-
Cash Flow from Investing(In $M),PXD,-,"-4,184","-4,040",-,"-5,214"
Cash Flow from Operations(In $M),PXD,-,"8,977","8,930",-,"8,763"
Cash Flow from Financing(In $M),PXD,-,"-2,225","-2,897",-,"-1,340"
Cash Flow per Share(In $),PXD,-,37.05,37.57,-,41.41
Free Cash Flow(In $M),PXD,-,"3,934","3,695",-,-
Free Cash Flow per Share(In $),PXD,-,14.07,16.91,-,-
Book Value per Share(In $),PXD,-,113.61,122.36,-,-
Net Debt(In $M),PXD,-,"3,596","3,353",-,-
Research & Development Exp.(In $M),PXD,-,-,-,-,-
Capital Expenditure(In $M),PXD,-,"4,863","4,996",-,"5,223"
"Selling, General & Admin. Exp.(In $M)",PXD,-,320,340,-,470
Shareholder’s Equity(In $M),PXD,-,"26,469","27,595",-,"32,970"
Total Assets(In $M),PXD,-,"41,693","43,108",-,"49,697"
