,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),PXD,24384.0,24384.0,17870.0,7024.0,9671.0
Cost of revenue(figures in $M),PXD,13652.0,13652.0,10976.0,6196.0,7356.0
Gross profit(figures in $M),PXD,10732.0,10732.0,6894.0,828.0,2315.0
Selling general and administrative(figures in $M),PXD,357.0,334.0,292.0,244.0,324.0
Total operating expenses(figures in $M),PXD,413.0,390.0,350.0,300.0,392.0
Operating income or loss(figures in $M),PXD,10319.0,10342.0,6544.0,528.0,1923.0
Interest expense(figures in $M),PXD,138.0,128.0,161.0,196.0,121.0
Total other income/expenses net(figures in $M),PXD,-312.0,-382.0,-3660.0,-593.0,-891.0
Income before tax(figures in $M),PXD,9951.0,9951.0,2746.0,-261.0,987.0
Income tax expense(figures in $M),PXD,2106.0,2106.0,628.0,-61.0,231.0
Income from continuing operations(figures in $M),PXD,7845.0,7845.0,2118.0,-200.0,756.0
Net income(figures in $M),PXD,7845.0,7845.0,2118.0,-200.0,756.0
Net income available to common shareholders(figures in $M),PXD,7830.0,7830.0,2113.0,-200.0,756.0
Basic EPS(figures in $M),PXD,,3.261e-05,9.06e-06,-1.21e-06,4.6e-06
Diluted EPS(figures in $M),PXD,,3.113e-05,8.609999999999999e-06,-1.21e-06,4.59e-06
Basic average shares(figures in $M),PXD,,240.0,233.0,165.0,167.0
Diluted average shares(figures in $M),PXD,,252.0,246.0,165.0,167.0
EBITDA(figures in $M),PXD,,12609.0,5405.0,1574.0,2819.0
