,ticker,2023,2024,2025,2026,2027
Revenue(In $M),PLD,-,-,-,"8,894","9,573"
Dividend,PLD,3.46,3.73,3.90,3.16,3.16
Dividend Yield (in %),PLD,2.84 %,3.00 %,3.04 %,2.64 %,2.64 %
EPS,PLD,2.85,3.05,3.74,4.53,5.15
P/E Ratio,PLD,43.88,40.98,33.41,27.59,24.29
EBIT(In $M),PLD,"3,330","3,513","4,218","4,565","5,438"
EBITDA(In $M),PLD,"5,737","5,983","6,953","7,616","7,928"
Net Profit(In $M),PLD,"2,776","2,994","3,618","4,301","4,881"
Net Profit Adjusted(In $M),PLD,"2,576","2,683","3,312","3,771","4,300"
Pre-Tax Profit(In $M),PLD,"3,358","3,517","4,303",-,-
Net Profit (Adjusted)(In $M),PLD,"3,389","3,585",-,-,-
EPS (Non-GAAP) ex. SOE(In $),PLD,2.70,2.84,4.52,-,-
EPS (GAAP)(In $),PLD,2.67,3.13,4.32,4.06,4.27
Gross Income(In $M),PLD,"5,281","5,829","6,465","7,168","7,723"
Cash Flow from Investing(In $M),PLD,"-2,071","-1,874",-,-,-
Cash Flow from Operations(In $M),PLD,"4,395","5,018","5,801",-,-
Cash Flow from Financing(In $M),PLD,"-2,479","-3,107",-,-,-
Cash Flow per Share(In $),PLD,4.55,5.34,7.10,-,-
Free Cash Flow(In $M),PLD,"3,979","5,014",-,-,-
Free Cash Flow per Share(In $),PLD,5.46,5.43,-,-,-
Book Value per Share(In $),PLD,55.81,56.47,55.97,-,-
Net Debt(In $M),PLD,"26,566","27,294","26,500",-,-
Research & Development Exp.(In $M),PLD,-,-,-,-,-
Capital Expenditure(In $M),PLD,772,641,592,709,757
"Selling, General & Admin. Exp.(In $M)",PLD,406,417,-,-,-
Shareholder’s Equity(In $M),PLD,"52,375","51,313","53,359",-,-
Total Assets(In $M),PLD,"87,151","86,330","90,499",-,-
