,ticker,2023,2024,2025
Revenue(In $M),GME,"5,881","5,840","5,625"
Dividend,GME,0.00,-,-
Dividend Yield (in %),GME,-,-,-
EPS,GME,-1.31,-0.41,-0.35
P/E Ratio,GME,-14.43,-46.80,-54.16
EBIT(In $M),GME,-404,-164,-133
EBITDA(In $M),GME,-295,-62,-
Net Profit(In $M),GME,-400,-124,-109
Net Profit Adjusted(In $M),GME,-400,-124,-109
Pre-Tax Profit(In $M),GME,-410,-143,-109
Net Profit (Adjusted)(In $M),GME,-421,-312,-
EPS (Non-GAAP) ex. SOE(In $),GME,-1.31,-0.41,-0.35
EPS (GAAP)(In $),GME,-1.35,-0.42,-0.37
Gross Income(In $M),GME,"1,287","1,385","1,320"
Cash Flow from Investing(In $M),GME,-178,32,36
Cash Flow from Operations(In $M),GME,-317,-152,-156
Cash Flow from Financing(In $M),GME,-3,-,-
Cash Flow per Share(In $),GME,-0.35,-,-
Free Cash Flow(In $M),GME,-590,-,-
Free Cash Flow per Share(In $),GME,-,-,-
Book Value per Share(In $),GME,5.57,-,-
Net Debt(In $M),GME,-,-,-
Research & Development Exp.(In $M),GME,-,-,-
Capital Expenditure(In $M),GME,57,48,44
"Selling, General & Admin. Exp.(In $M)",GME,"1,657","1,502","1,358"
Shareholder’s Equity(In $M),GME,"1,199","1,236","1,163"
Total Assets(In $M),GME,"3,034","2,872","2,660"
