,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),AKAM,3616.654,3616.654,3461.223,3198.149,2893.617
Cost of revenue(figures in $M),AKAM,1383.819,1383.819,1268.956,1132.672,987.624
Gross profit(figures in $M),AKAM,2232.835,2232.835,2192.267,2065.477,1905.993
Research development(figures in $M),AKAM,391.434,391.434,335.372,269.315,261.365
Selling general and administrative(figures in $M),AKAM,986.277,986.277,918.977,966.696,947.545
Total operating expenses(figures in $M),AKAM,1523.961,1523.961,1385.065,1363.803,1328.002
Operating income or loss(figures in $M),AKAM,708.874,708.874,807.202,701.674,577.991
Interest expense(figures in $M),AKAM,11.096,11.096,72.332,69.12,49.364
Total other income/expenses net(figures in $M),AKAM,-43.033,-43.033,-22.269,-45.594,-30.501
Income before tax(figures in $M),AKAM,658.003,658.003,728.221,616.082,532.481
Income tax expense(figures in $M),AKAM,126.696,126.696,62.571,45.922,53.35
Income from continuing operations(figures in $M),AKAM,523.672,523.672,651.642,557.054,478.035
Net income(figures in $M),AKAM,523.672,523.672,651.642,557.054,478.035
Net income available to common shareholders(figures in $M),AKAM,523.672,523.672,651.642,557.054,478.035
Basic EPS(figures in $M),AKAM,,3.29e-06,4.01e-06,3.43e-06,2.94e-06
Diluted EPS(figures in $M),AKAM,,3.2599999999999997e-06,3.9300000000000005e-06,3.37e-06,2.8999999999999998e-06
Basic average shares(figures in $M),AKAM,,159.089,162.665,162.49,162.706
Diluted average shares(figures in $M),AKAM,,160.467,165.804,165.213,164.573
EBITDA(figures in $M),AKAM,,1261.853,1351.185,1163.591,1022.519
