,ticker,2023,2024,2025,2026,2027
Revenue(In $M),AKAM,"3,733","3,961","4,232","4,637","4,983"
Dividend,AKAM,-,-,0.00,-,-
Dividend Yield (in %),AKAM,-,-,-,-,-
EPS,AKAM,5.47,5.97,6.73,7.29,8.01
P/E Ratio,AKAM,14.09,12.92,11.46,10.57,9.62
EBIT(In $M),AKAM,"1,028","1,110","1,244","1,402",-
EBITDA(In $M),AKAM,"1,486","1,607","1,792","1,912","2,074"
Net Profit(In $M),AKAM,856,928,"1,047","1,107","1,206"
Net Profit Adjusted(In $M),AKAM,856,928,"1,047","1,107","1,206"
Pre-Tax Profit(In $M),AKAM,"1,037","1,127","1,269",-,-
Net Profit (Adjusted)(In $M),AKAM,686,773,882,952,"1,051"
EPS (Non-GAAP) ex. SOE(In $),AKAM,4.87,5.53,6.63,7.29,8.01
EPS (GAAP)(In $),AKAM,3.69,4.09,4.86,5.17,5.76
Gross Income(In $M),AKAM,"2,627","2,847","3,039","3,485","3,754"
Cash Flow from Investing(In $M),AKAM,-785,-696,-556,-603,-648
Cash Flow from Operations(In $M),AKAM,"1,316","1,462","1,547","1,658","1,803"
Cash Flow from Financing(In $M),AKAM,-356,-387,-699,-420,-460
Cash Flow per Share(In $),AKAM,8.41,9.18,-,-,-
Free Cash Flow(In $M),AKAM,529,742,923,"1,055","1,155"
Free Cash Flow per Share(In $),AKAM,3.60,4.82,6.02,6.94,7.68
Book Value per Share(In $),AKAM,30.69,34.66,39.20,-,-
Net Debt(In $M),AKAM,-142,-513,"-2,428",-,-
Research & Development Exp.(In $M),AKAM,344,365,377,420,446
Capital Expenditure(In $M),AKAM,720,642,623,603,648
"Selling, General & Admin. Exp.(In $M)",AKAM,966,"1,042","1,078","1,153","1,234"
Shareholder’s Equity(In $M),AKAM,"4,766","5,210","5,475","5,633","6,060"
Total Assets(In $M),AKAM,"8,732","9,201","9,159","9,781","10,264"
