,ticker,2023,2024,2025,2026
Revenue(In $M),PH,"18,482","19,422","20,412","21,833"
Dividend,PH,5.18,5.57,6.04,5.32
Dividend Yield (in %),PH,1.55 %,1.67 %,1.81 %,1.59 %
EPS,PH,19.67,21.50,24.09,27.07
P/E Ratio,PH,16.46,15.07,13.45,11.97
EBIT(In $M),PH,"3,778","3,967","4,318","4,838"
EBITDA(In $M),PH,"4,213","4,523","4,944","5,180"
Net Profit(In $M),PH,"2,554","2,753","3,077","3,352"
Net Profit Adjusted(In $M),PH,"2,554","2,753","3,077","3,352"
Pre-Tax Profit(In $M),PH,"3,329","3,590","3,749","4,353"
Net Profit (Adjusted)(In $M),PH,"2,430","2,990","3,591",-
EPS (Non-GAAP) ex. SOE(In $),PH,19.67,21.50,24.09,27.07
EPS (GAAP)(In $),PH,14.12,17.33,21.49,28.41
Gross Income(In $M),PH,"5,879","6,079","6,441","7,036"
Cash Flow from Investing(In $M),PH,"-8,091",-351,-394,-372
Cash Flow from Operations(In $M),PH,"2,794","3,344","3,654","3,846"
Cash Flow from Financing(In $M),PH,-52,"-2,746","-2,953","-3,474"
Cash Flow per Share(In $),PH,23.04,26.52,29.67,-
Free Cash Flow(In $M),PH,"2,268","2,805","3,047","3,515"
Free Cash Flow per Share(In $),PH,17.59,20.72,22.69,27.46
Book Value per Share(In $),PH,87.65,100.22,119.31,-
Net Debt(In $M),PH,"12,081","9,955","7,756",-
Research & Development Exp.(In $M),PH,359,376,389,-
Capital Expenditure(In $M),PH,363,367,395,372
"Selling, General & Admin. Exp.(In $M)",PH,"2,659","2,518","2,506","2,198"
Shareholder’s Equity(In $M),PH,"10,835","12,353","15,761","17,043"
Total Assets(In $M),PH,"30,782","30,354","31,388","29,133"
