,ticker,ttm,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Total revenue(figures in $M),PH,17181.805,15861.608,14347.64,13695.52,14320.324
Cost of revenue(figures in $M),PH,12347.558,11387.267,10449.68,10286.518,10703.484
Gross profit(figures in $M),PH,4834.247,4474.341,3897.96,3409.002,3616.84
Selling general and administrative(figures in $M),PH,2065.279,1627.116,1527.302,1656.553,1543.939
Total operating expenses(figures in $M),PH,2065.279,1627.116,1527.302,1656.553,1543.939
Operating income or loss(figures in $M),PH,2768.968,2847.225,2370.658,1752.449,2072.901
Interest expense(figures in $M),PH,399.267,255.252,250.036,308.161,190.138
Total other income/expenses net(figures in $M),PH,-826.879,-977.747,126.335,68.339,50.662
Income before tax(figures in $M),PH,1572.245,1614.226,2246.957,1512.627,1933.425
Income tax expense(figures in $M),PH,311.753,298.04,500.096,305.924,420.494
Income from continuing operations(figures in $M),PH,1260.492,1316.186,1746.861,1206.703,1512.931
Net income(figures in $M),PH,1259.939,1315.605,1746.1,1206.341,1512.364
Net income available to common shareholders(figures in $M),PH,1259.939,1315.605,1746.1,1206.341,1512.364
Basic EPS(figures in $M),PH,,1.024e-05,1.3539999999999999e-05,9.36e-06,1.148e-05
Diluted EPS(figures in $M),PH,,1.009e-05,1.335e-05,9.26e-06,1.148e-05
Basic average shares(figures in $M),PH,,128.539,129.0,128.418,129.998
Diluted average shares(figures in $M),PH,,130.356,130.834,129.805,131.782
EBITDA(figures in $M),PH,,2441.242,3092.383,2358.319,2559.752
