,ticker,2023,2024,2025
Revenue(In $M),SNA,"4,678","4,863","4,940"
Dividend,SNA,6.42,7.01,6.58
Dividend Yield (in %),SNA,2.67 %,2.91 %,2.73 %
EPS,SNA,17.68,18.45,17.50
P/E Ratio,SNA,14.64,14.03,14.78
EBIT(In $M),SNA,"1,197","1,240","1,225"
EBITDA(In $M),SNA,"1,321","1,370","1,307"
Net Profit(In $M),SNA,950,978,881
Net Profit Adjusted(In $M),SNA,947,965,903
Pre-Tax Profit(In $M),SNA,"1,265","1,303","1,182"
Net Profit (Adjusted)(In $M),SNA,"1,219","1,252","1,120"
EPS (Non-GAAP) ex. SOE(In $),SNA,17.68,18.45,17.50
EPS (GAAP)(In $),SNA,17.40,17.92,17.29
Gross Income(In $M),SNA,"2,325","2,439","2,561"
Cash Flow from Investing(In $M),SNA,-131,-122,-
Cash Flow from Operations(In $M),SNA,"1,131","1,171","1,043"
Cash Flow from Financing(In $M),SNA,-668,-689,-
Cash Flow per Share(In $),SNA,18.47,19.57,18.35
Free Cash Flow(In $M),SNA,927,957,-
Free Cash Flow per Share(In $),SNA,18.50,18.90,-
Book Value per Share(In $),SNA,93.73,101.44,108.53
Net Debt(In $M),SNA,131,-206,-322
Research & Development Exp.(In $M),SNA,-,-,-
Capital Expenditure(In $M),SNA,98,106,118
"Selling, General & Admin. Exp.(In $M)",SNA,"1,306","1,406","1,502"
Shareholder’s Equity(In $M),SNA,"4,975","5,450","5,497"
Total Assets(In $M),SNA,"7,378","7,852",-
