,2022,2021,2019,2018,ticker
Current ratio,3.109,2.647,2.512,2.329,SNA
Quick ratio,2.153,1.894,1.593,1.523,SNA
Cash ratio,0.794,0.793,0.195,0.148,SNA
Days of sales outstanding,114.599,130.394,129.697,127.765,SNA
Days of inventory outstanding,137.020,147.762,147.161,131.468,SNA
Operating cycle,251.619,278.156,276.859,259.233,SNA
Days of payables outstanding,47.321,44.121,38.416,39.237,SNA
Cash conversion cycle,204.298,234.035,238.443,219.996,SNA
Gross profit margin,0.496,0.487,0.494,0.500,SNA
Operating profit margin,0.264,0.245,0.258,0.256,SNA
Pretax profit margin,0.256,0.232,0.247,0.243,SNA
Net profit margin,0.193,0.175,0.186,0.182,SNA
Effective tax rate,0.227,0.226,0.230,0.236,SNA
Return on assets,0.121,0.096,0.122,0.127,SNA
Return on equity,0.196,0.164,0.203,0.219,SNA
Return on capital employed,0.194,0.163,0.203,0.216,SNA
Net income per EBT,0.755,0.751,0.752,0.747,SNA
Ebt per ebit,0.967,0.949,0.958,0.952,SNA
Ebit per revenue,0.264,0.245,0.258,0.256,SNA
Debt ratio,0.378,0.413,0.397,0.420,SNA
Debt equity ratio,0.295,0.388,0.348,0.365,SNA
Long term debt to capitalization,0.225,0.241,0.224,0.234,SNA
Total debt to capitalization,0.228,0.280,0.258,0.268,SNA
Interest coverage,21.158,16.306,19.639,18.970,SNA
Cash flow to debt ratio,0.783,0.679,0.568,0.675,SNA
Company equity multiplier,1.616,1.714,1.670,1.734,SNA
Receivables turnover,3.185,2.799,2.814,2.857,SNA
Payables turnover,7.713,8.273,9.501,9.302,SNA
Inventory turnover,2.664,2.470,2.480,2.776,SNA
Fixed asset turnover,7.458,6.214,6.463,7.555,SNA
Asset turnover,0.629,0.548,0.655,0.696,SNA
Operating cash flow per share,17.933,18.575,12.243,13.579,SNA
Free cash flow per share,16.633,17.366,10.439,11.964,SNA
Cash per share,14.471,17.006,3.348,2.503,SNA
Payout ratio,0.336,0.388,0.312,0.282,SNA
Operating cash flow sales ratio,0.227,0.281,0.181,0.204,SNA
Free cash flow operating cash flow ratio,0.927,0.935,0.853,0.881,SNA
Cash flow coverage ratios,0.783,0.679,0.568,0.675,SNA
Short term coverage ratios,55.552,3.756,3.325,4.104,SNA
Capital expenditure coverage ratio,-13.789,-15.375,-6.787,-8.410,SNA
Dividend paid and capex coverage ratio,4.699,5.676,5.756,7.562,SNA
Dividend payout ratio,0.336,0.388,0.312,0.282,SNA
Price book value ratio,2.776,2.430,2.735,2.621,SNA
Price to book ratio,2.776,2.430,2.735,2.621,SNA
Price to sales ratio,2.730,2.587,2.499,2.171,SNA
Price earnings ratio,14.149,14.821,13.443,11.945,SNA
Price to free cash flows ratio,12.949,9.855,16.208,12.057,SNA
Price to operating cash flows ratio,12.010,9.214,13.820,10.623,SNA
Price cash flow ratio,12.010,9.214,13.820,10.623,SNA
Price earnings to growth ratio,0.445,-1.794,3.184,0.492,SNA
Price sales ratio,2.730,2.587,2.499,2.171,SNA
Dividend yield,0.024,0.026,0.023,0.024,SNA
Enterprise value multiple,9.691,9.995,9.709,8.772,SNA
Price fair value,2.776,2.430,2.735,2.621,SNA
