,ticker,2023,2024,2025
Revenue(In $M),IBM,"62,260","64,404","66,789"
Dividend,IBM,6.89,7.10,7.11
Dividend Yield (in %),IBM,5.51 %,5.68 %,5.68 %
EPS,IBM,9.43,9.98,10.35
P/E Ratio,IBM,13.23,12.50,12.05
EBIT(In $M),IBM,"10,867","11,610","12,884"
EBITDA(In $M),IBM,"14,910","15,570","16,652"
Net Profit(In $M),IBM,"8,587","9,111","9,444"
Net Profit Adjusted(In $M),IBM,"8,587","9,111","9,444"
Pre-Tax Profit(In $M),IBM,"10,277","10,978","11,504"
Net Profit (Adjusted)(In $M),IBM,"7,455","8,085","9,533"
EPS (Non-GAAP) ex. SOE(In $),IBM,9.43,9.98,10.35
EPS (GAAP)(In $),IBM,7.73,8.50,9.04
Gross Income(In $M),IBM,"34,508","35,999","38,109"
Cash Flow from Investing(In $M),IBM,"-8,406","-2,621","-3,438"
Cash Flow from Operations(In $M),IBM,"12,866","14,106","14,932"
Cash Flow from Financing(In $M),IBM,-944,"-5,795","-5,987"
Cash Flow per Share(In $),IBM,13.74,11.62,15.38
Free Cash Flow(In $M),IBM,"10,538","11,596","12,474"
Free Cash Flow per Share(In $),IBM,-,-,-
Book Value per Share(In $),IBM,27.43,28.84,30.33
Net Debt(In $M),IBM,"36,855","31,376","27,252"
Research & Development Exp.(In $M),IBM,"6,464","6,649",-
Capital Expenditure(In $M),IBM,"2,181","2,218","2,449"
"Selling, General & Admin. Exp.(In $M)",IBM,"18,285","18,714",-
Shareholder’s Equity(In $M),IBM,"32,969","38,220","36,825"
Total Assets(In $M),IBM,"138,619","145,573","157,557"
