,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),IBM,60530.0,60530.0,57351.0,73620.0,77147.0
Cost of revenue(figures in $M),IBM,27842.0,27843.0,25864.0,38045.0,40659.0
Gross profit(figures in $M),IBM,32687.0,32687.0,31486.0,35575.0,36488.0
Research development(figures in $M),IBM,6567.0,6567.0,6488.0,6333.0,5989.0
Selling general and administrative(figures in $M),IBM,17483.0,18609.0,18745.0,23082.0,20604.0
Total operating expenses(figures in $M),IBM,24533.0,24513.0,24621.0,28789.0,25945.0
Operating income or loss(figures in $M),IBM,8154.0,8174.0,6865.0,6786.0,10543.0
Interest expense(figures in $M),IBM,1216.0,1216.0,1155.0,1288.0,1344.0
Total other income/expenses net(figures in $M),IBM,-5944.0,-5803.0,-873.0,-861.0,968.0
Income before tax(figures in $M),IBM,1156.0,1156.0,4837.0,4637.0,10166.0
Income tax expense(figures in $M),IBM,-626.0,-626.0,124.0,-864.0,731.0
Income from continuing operations(figures in $M),IBM,1783.0,1782.0,4712.0,5501.0,9435.0
Net income(figures in $M),IBM,1640.0,1639.0,5742.0,5590.0,9431.0
Net income available to common shareholders(figures in $M),IBM,1639.0,1639.0,5743.0,5590.0,9431.0
Basic EPS(figures in $M),IBM,,,6.4100000000000005e-06,6.28e-06,1.0630000000000002e-05
Diluted EPS(figures in $M),IBM,,,6.349999999999999e-06,6.2300000000000005e-06,1.056e-05
Basic average shares(figures in $M),IBM,,,895.991,890.349,887.235
Diluted average shares(figures in $M),IBM,,,904.641,896.564,892.813
EBITDA(figures in $M),IBM,,7174.0,12408.0,12620.0,17569.0
