,ticker,2023,2024,2025,2026,2027
Revenue(In $M),CHRW,"18,935","19,551","20,490","18,979","19,741"
Dividend,CHRW,2.39,2.43,2.44,2.76,2.93
Dividend Yield (in %),CHRW,2.46 %,2.49 %,2.69 %,2.81 %,2.98 %
EPS,CHRW,4.15,4.80,5.51,6.45,7.22
P/E Ratio,CHRW,25.43,21.97,19.15,16.35,14.61
EBIT(In $M),CHRW,710,788,867,959,"1,035"
EBITDA(In $M),CHRW,806,895,955,"1,013","1,086"
Net Profit(In $M),CHRW,493,559,625,687,747
Net Profit Adjusted(In $M),CHRW,485,553,602,-,-
Pre-Tax Profit(In $M),CHRW,610,699,783,-,-
Net Profit (Adjusted)(In $M),CHRW,606,700,855,-,-
EPS (Non-GAAP) ex. SOE(In $),CHRW,4.15,4.80,5.51,6.45,7.22
EPS (GAAP)(In $),CHRW,4.14,4.89,5.82,-,-
Gross Income(In $M),CHRW,"2,766","2,811","2,965","3,086","3,212"
Cash Flow from Investing(In $M),CHRW,-100,-99,-126,-99,-103
Cash Flow from Operations(In $M),CHRW,825,666,702,810,871
Cash Flow from Financing(In $M),CHRW,-651,-523,-292,-710,-796
Cash Flow per Share(In $),CHRW,5.61,5.21,5.51,-,-
Free Cash Flow(In $M),CHRW,758,570,552,628,687
Free Cash Flow per Share(In $),CHRW,5.58,4.77,-,-,-
Book Value per Share(In $),CHRW,11.73,12.36,20.35,-,-
Net Debt(In $M),CHRW,"1,459","1,461","1,129",-,-
Research & Development Exp.(In $M),CHRW,-,-,-,-,-
Capital Expenditure(In $M),CHRW,73,80,99,-,152
"Selling, General & Admin. Exp.(In $M)",CHRW,538,526,-,-,-
Shareholder’s Equity(In $M),CHRW,"1,373","1,361","1,942","1,526","1,591"
Total Assets(In $M),CHRW,"5,331","5,416","5,531","5,811","5,966"
