,ticker,2023,2024,2025,2026
Revenue(In $M),ADP,"17,925","19,004","20,356",-
Dividend,ADP,4.45,4.79,5.14,-
Dividend Yield (in %),ADP,2.07 %,2.21 %,2.33 %,-
EPS,ADP,8.17,8.94,10.00,-
P/E Ratio,ADP,26.18,23.94,21.39,22.09
EBIT(In $M),ADP,"4,461","4,845","5,323",-
EBITDA(In $M),ADP,"4,957","5,352","5,932",-
Net Profit(In $M),ADP,"3,396","3,678","4,057",-
Net Profit Adjusted(In $M),ADP,"3,396","3,679","4,075",-
Pre-Tax Profit(In $M),ADP,"4,424","4,780","5,258",-
Net Profit (Adjusted)(In $M),ADP,"4,412","4,729","5,237",-
EPS (Non-GAAP) ex. SOE(In $),ADP,8.17,8.94,10.00,-
EPS (GAAP)(In $),ADP,8.16,8.90,9.86,-
Gross Income(In $M),ADP,"8,489","8,965","9,699",-
Cash Flow from Investing(In $M),ADP,"-2,529","-1,058","-1,901",-
Cash Flow from Operations(In $M),ADP,"4,513","5,296","5,848",-
Cash Flow from Financing(In $M),ADP,"-6,419","-3,519","-2,820",-
Cash Flow per Share(In $),ADP,8.96,11.11,9.92,-
Free Cash Flow(In $M),ADP,"4,608","5,442","6,405",-
Free Cash Flow per Share(In $),ADP,10.60,12.31,-,-
Book Value per Share(In $),ADP,-,-,15.61,-
Net Debt(In $M),ADP,832,-307,"-2,223",-
Research & Development Exp.(In $M),ADP,826,864,898,-
Capital Expenditure(In $M),ADP,267,262,297,-
"Selling, General & Admin. Exp.(In $M)",ADP,"3,533","3,681","3,829",-
Shareholder’s Equity(In $M),ADP,"3,805","4,904","6,578",-
Total Assets(In $M),ADP,"56,532","58,374","60,848",-
