,ticker,ttm,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Total revenue(figures in $M),WDC,15752.0,18793.0,16922.0,16736.0,16569.0
Cost of revenue(figures in $M),WDC,11617.0,12919.0,12401.0,12955.0,12817.0
Gross profit(figures in $M),WDC,4135.0,5874.0,4521.0,3781.0,3752.0
Research development(figures in $M),WDC,2245.0,2323.0,2243.0,2261.0,2182.0
Selling general and administrative(figures in $M),WDC,1044.0,1117.0,1105.0,1153.0,1317.0
Total operating expenses(figures in $M),WDC,3289.0,3440.0,3348.0,3414.0,3499.0
Operating income or loss(figures in $M),WDC,846.0,2434.0,1173.0,367.0,253.0
Interest expense(figures in $M),WDC,293.0,268.0,293.0,381.0,469.0
Total other income/expenses net(figures in $M),WDC,-89.0,-43.0,47.0,-32.0,-166.0
Income before tax(figures in $M),WDC,472.0,2123.0,927.0,-46.0,-287.0
Income tax expense(figures in $M),WDC,565.0,623.0,106.0,204.0,467.0
Income from continuing operations(figures in $M),WDC,-93.0,1500.0,821.0,-250.0,-754.0
Net income(figures in $M),WDC,-93.0,1500.0,821.0,-250.0,-754.0
Net income available to common shareholders(figures in $M),WDC,-93.0,1500.0,821.0,-250.0,-754.0
Basic EPS(figures in $M),WDC,,4.81e-06,2.69e-06,-8.4e-07,-2.58e-06
Diluted EPS(figures in $M),WDC,,4.75e-06,2.66e-06,-8.4e-07,-2.58e-06
Basic average shares(figures in $M),WDC,,312.0,305.0,298.0,292.0
Diluted average shares(figures in $M),WDC,,316.0,309.0,298.0,292.0
EBITDA(figures in $M),WDC,,3320.0,2432.0,1901.0,2065.0
