,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),BWA,15801.0,15801.0,14838.0,10165.0,10168.0
Cost of revenue(figures in $M),BWA,12700.0,12700.0,11983.0,8255.0,8067.0
Gross profit(figures in $M),BWA,3101.0,3101.0,2855.0,1910.0,2101.0
Selling general and administrative(figures in $M),BWA,1610.0,1610.0,1460.0,951.0,873.0
Total operating expenses(figures in $M),BWA,1630.0,1668.0,1541.0,1292.0,798.0
Operating income or loss(figures in $M),BWA,1471.0,1433.0,1314.0,618.0,1303.0
Interest expense(figures in $M),BWA,78.0,52.0,93.0,73.0,55.0
Total other income/expenses net(figures in $M),BWA,-101.0,-63.0,-432.0,407.0,5.0
Income before tax(figures in $M),BWA,1318.0,1318.0,789.0,964.0,1265.0
Income tax expense(figures in $M),BWA,292.0,292.0,150.0,397.0,468.0
Income from continuing operations(figures in $M),BWA,1026.0,1026.0,639.0,567.0,797.0
Net income(figures in $M),BWA,944.0,944.0,537.0,500.0,746.0
Net income available to common shareholders(figures in $M),BWA,944.0,944.0,537.0,500.0,746.0
Basic EPS(figures in $M),BWA,,4.01e-06,2.25e-06,2.35e-06,3.63e-06
Diluted EPS(figures in $M),BWA,,3.99e-06,2.24e-06,2.34e-06,3.6099999999999997e-06
Basic average shares(figures in $M),BWA,,235.5,238.1,213.0,205.7
Diluted average shares(figures in $M),BWA,,236.8,239.5,214.0,206.8
EBITDA(figures in $M),BWA,,1370.0,882.0,1037.0,1759.0
