,ticker,2023,2024,2025,2026,2027
Revenue(In $M),BWA,"17,206","18,575","19,679",-,-
Dividend,BWA,0.65,0.68,0.65,0.68,0.68
Dividend Yield (in %),BWA,1.36 %,1.43 %,1.36 %,1.43 %,1.43 %
EPS,BWA,4.90,5.68,6.52,8.15,8.80
P/E Ratio,BWA,9.49,8.19,7.13,5.71,5.29
EBIT(In $M),BWA,"1,740","2,001","2,222","2,684","2,889"
EBITDA(In $M),BWA,"2,474","2,741","2,968",-,-
Net Profit(In $M),BWA,"1,132","1,313","1,472","1,911","2,063"
Net Profit Adjusted(In $M),BWA,"1,138","1,316","1,481","1,911","2,063"
Pre-Tax Profit(In $M),BWA,"1,625","1,894","2,113","2,687","2,896"
Net Profit (Adjusted)(In $M),BWA,"1,652","1,884","2,133",-,-
EPS (Non-GAAP) ex. SOE(In $),BWA,4.90,5.68,6.52,8.15,8.80
EPS (GAAP)(In $),BWA,4.79,5.61,6.32,-,-
Gross Income(In $M),BWA,"3,458","3,827","4,138","5,006","5,361"
Cash Flow from Investing(In $M),BWA,-859,-946,"-1,074","-1,161","-1,236"
Cash Flow from Operations(In $M),BWA,"1,483","1,935","2,082","1,721","2,205"
Cash Flow from Financing(In $M),BWA,-370,-434,-660,-160,-160
Cash Flow per Share(In $),BWA,6.57,9.30,9.55,-,-
Free Cash Flow(In $M),BWA,540,899,898,560,969
Free Cash Flow per Share(In $),BWA,2.63,3.83,5.14,-,-
Book Value per Share(In $),BWA,34.97,39.85,45.87,-,-
Net Debt(In $M),BWA,"2,575","1,833","1,026",-,-
Research & Development Exp.(In $M),BWA,858,927,994,-,-
Capital Expenditure(In $M),BWA,857,946,"1,046","1,161","1,236"
"Selling, General & Admin. Exp.(In $M)",BWA,"1,649","1,763","1,950","2,321","2,472"
Shareholder’s Equity(In $M),BWA,"8,205","9,342","10,900","13,049","14,952"
Total Assets(In $M),BWA,"17,968","19,156","20,625","23,119","25,229"
