,ticker,2023,2024,2025
Revenue(In $M),MTB,"9,465","9,192","9,189"
Dividend,MTB,5.21,5.37,5.71
Dividend Yield (in %),MTB,3.92 %,4.21 %,4.47 %
EPS,MTB,16.86,16.80,17.72
P/E Ratio,MTB,6.75,6.77,6.42
EBIT(In $M),MTB,"4,161","3,856","3,841"
EBITDA(In $M),MTB,-,-,-
Net Profit(In $M),MTB,"2,803","2,567","2,444"
Net Profit Adjusted(In $M),MTB,"2,750","2,504","2,368"
Pre-Tax Profit(In $M),MTB,"3,820","3,500","3,388"
Net Profit (Adjusted)(In $M),MTB,"3,866","3,542","3,338"
EPS (Non-GAAP) ex. SOE(In $),MTB,16.68,16.40,17.77
EPS (GAAP)(In $),MTB,16.86,16.80,17.72
Gross Income(In $M),MTB,-,-,-
Cash Flow from Investing(In $M),MTB,-,-,-
Cash Flow from Operations(In $M),MTB,-,-,-
Cash Flow from Financing(In $M),MTB,-,-,-
Cash Flow per Share(In $),MTB,-,-,-
Free Cash Flow(In $M),MTB,-,-,-
Free Cash Flow per Share(In $),MTB,-,-,-
Book Value per Share(In $),MTB,150.99,162.59,173.86
Net Debt(In $M),MTB,-,-,-
Research & Development Exp.(In $M),MTB,-,-,-
Capital Expenditure(In $M),MTB,-,-,-
"Selling, General & Admin. Exp.(In $M)",MTB,-,-,-
Shareholder’s Equity(In $M),MTB,"25,194","24,638",-
Total Assets(In $M),MTB,"200,781","202,238",-
