,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),IR,5916.3,5916.3,5152.4,4910.2,2451.9
Cost of revenue(figures in $M),IR,3590.7,3590.7,3163.9,3296.8,1540.2
Gross profit(figures in $M),IR,2325.6,2325.6,1988.5,1613.4,911.7
Selling general and administrative(figures in $M),IR,1095.8,1095.8,1028.0,894.8,436.4
Total operating expenses(figures in $M),IR,1446.2,1508.3,1422.8,1507.8,636.4
Operating income or loss(figures in $M),IR,879.4,817.3,565.7,105.6,275.3
Interest expense(figures in $M),IR,103.2,103.2,87.7,111.1,88.9
Total other income/expenses net(figures in $M),IR,-34.0,28.1,35.0,-13.9,4.5
Income before tax(figures in $M),IR,742.2,742.2,513.0,-19.4,190.9
Income tax expense(figures in $M),IR,149.6,149.6,-21.8,13.0,31.8
Income from continuing operations(figures in $M),IR,593.3,593.3,523.4,-32.4,159.1
Net income(figures in $M),IR,604.7,604.7,562.5,-33.3,159.1
Net income available to common shareholders(figures in $M),IR,604.7,604.7,562.5,-33.3,159.1
Basic EPS(figures in $M),IR,,1.49e-06,1.3600000000000001e-06,-9e-08,7.8e-07
Diluted EPS(figures in $M),IR,,1.47e-06,1.34e-06,-9e-08,7.6e-07
Basic average shares(figures in $M),IR,,405.3,414.8,382.8,203.5
Diluted average shares(figures in $M),IR,,410.2,421.2,382.8,208.9
EBITDA(figures in $M),IR,,1278.2,1022.8,592.6,457.9
