,ticker,2023,2024,2025,2026,2027
Revenue(In $M),HAL,"23,691","25,964","27,887","29,568","31,201"
Dividend,HAL,0.64,0.69,0.77,-,-
Dividend Yield (in %),HAL,1.90 %,1.92 %,2.35 %,-,-
EPS,HAL,3.08,3.63,4.25,4.04,4.36
P/E Ratio,HAL,9.53,8.08,6.91,7.27,6.73
EBIT(In $M),HAL,"4,149","4,723","5,195","5,341","5,771"
EBITDA(In $M),HAL,"5,114","5,732","6,334","6,403","6,870"
Net Profit(In $M),HAL,"2,802","3,254","3,648","3,771","4,109"
Net Profit Adjusted(In $M),HAL,"2,802","3,254","3,648","3,771","4,109"
Pre-Tax Profit(In $M),HAL,"3,613","4,223","4,770",-,-
Net Profit (Adjusted)(In $M),HAL,"3,637","4,320","5,034",-,-
EPS (Non-GAAP) ex. SOE(In $),HAL,3.08,3.63,4.25,4.04,4.36
EPS (GAAP)(In $),HAL,3.09,3.62,4.16,4.04,4.36
Gross Income(In $M),HAL,"4,762","5,090","5,493",-,-
Cash Flow from Investing(In $M),HAL,"-1,388","-1,413","-1,472",-,-
Cash Flow from Operations(In $M),HAL,"3,083","3,758","4,592","5,087","5,411"
Cash Flow from Financing(In $M),HAL,"-1,019","-1,049","-1,166",-,-
Cash Flow per Share(In $),HAL,3.57,4.20,5.23,-,-
Free Cash Flow(In $M),HAL,"1,774","2,336","3,160","3,608","3,851"
Free Cash Flow per Share(In $),HAL,2.12,2.59,-,-,-
Book Value per Share(In $),HAL,10.86,13.29,16.47,-,-
Net Debt(In $M),HAL,"4,881","3,227",730,"-4,656","-7,906"
Research & Development Exp.(In $M),HAL,-,-,-,-,-
Capital Expenditure(In $M),HAL,"1,375","1,434","1,538","1,774","1,872"
"Selling, General & Admin. Exp.(In $M)",HAL,248,265,288,-,-
Shareholder’s Equity(In $M),HAL,"9,817","12,008","14,414",-,-
Total Assets(In $M),HAL,"25,285","27,720","30,435",-,-
