,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),NBR,451.025,991.471,472.246,435.99
Other short-term investments(figures in $M),NBR,1.29,0.017,9.5,16.506
Total cash(figures in $M),NBR,452.315,991.488,481.746,452.496
Net receivables(figures in $M),NBR,327.397,287.572,362.977,453.042
Inventory(figures in $M),NBR,127.947,126.448,160.585,176.341
Other current assets(figures in $M),NBR,220.911,222.188,270.18,340.598
Total current assets(figures in $M),NBR,1000.623,1517.809,1131.465,1248.666
"Gross property, plant and equipment(figures in $M)",NBR,12329.08,12300.912,13112.64,13615.622
Accumulated depreciation(figures in $M),NBR,-9302.98,-8968.414,-9126.933,-8685.073
"Net property, plant and equipment(figures in $M)",NBR,3026.1,3332.498,3985.707,4930.549
Goodwill(figures in $M),NBR,0.0,0.0,0.0,28.38
Other long-term assets(figures in $M),NBR,703.131,675.057,386.256,553.063
Total non-current assets(figures in $M),NBR,3729.231,4007.555,4371.963,5511.992
Total assets(figures in $M),NBR,4729.854,5525.364,5503.428,6760.658
Accounts payable(figures in $M),NBR,314.041,253.748,220.922,295.159
Taxes payable(figures in $M),NBR,27.99,18.887,10.157,14.628
Accrued liabilities(figures in $M),NBR,79.951,79.502,78.131,62.974
Deferred revenues(figures in $M),NBR,37.808,59.816,61.473,89.051
Other current liabilities(figures in $M),NBR,282.349,525.228,515.469,656.548
Total current liabilities(figures in $M),NBR,596.39,525.228,515.469,656.548
Long-term debt(figures in $M),NBR,2537.54,3262.795,2968.701,3333.22
Deferred tax liabilities(figures in $M),NBR,2.858,2.773,1.576,3.149
Other long-term liabilities(figures in $M),NBR,380.529,343.12,319.61,295.333
Total non-current liabilities(figures in $M),NBR,2918.069,3605.915,3288.311,3628.553
Total liabilities(figures in $M),NBR,3514.459,4131.143,3803.78,4285.101
Common stock(figures in $M),NBR,0.525,0.466,0.424,0.422
Retained earnings(figures in $M),NBR,-1841.153,-1537.988,-946.1,-104.775
Accumulated other comprehensive income(figures in $M),NBR,-11.038,-10.634,-11.124,-11.788
Total stockholders' equity(figures in $M),NBR,368.956,590.656,1151.384,1982.811
Total liabilities and stockholders' equity(figures in $M),NBR,4729.854,5525.364,5503.428,6760.658
