,ticker,2023,2024,2025
Revenue(In $M),NBR,"3,169","3,412","3,641"
Dividend,NBR,0.00,0.00,0.00
Dividend Yield (in %),NBR,0.00 %,0.00 %,0.00 %
EPS,NBR,9.34,20.19,30.60
P/E Ratio,NBR,10.11,4.68,3.09
EBIT(In $M),NBR,338,427,553
EBITDA(In $M),NBR,998,"1,095","1,105"
Net Profit(In $M),NBR,113,194,263
Net Profit Adjusted(In $M),NBR,113,194,263
Pre-Tax Profit(In $M),NBR,206,288,411
Net Profit (Adjusted)(In $M),NBR,190,223,-
EPS (Non-GAAP) ex. SOE(In $),NBR,9.34,20.19,30.60
EPS (GAAP)(In $),NBR,12.23,21.05,35.23
Gross Income(In $M),NBR,"1,285","1,350","1,464"
Cash Flow from Investing(In $M),NBR,-426,-451,-551
Cash Flow from Operations(In $M),NBR,810,860,"1,067"
Cash Flow from Financing(In $M),NBR,-116,-275,-17
Cash Flow per Share(In $),NBR,84.83,85.15,93.17
Free Cash Flow(In $M),NBR,381,434,404
Free Cash Flow per Share(In $),NBR,45.49,46.82,-
Book Value per Share(In $),NBR,59.80,76.67,76.72
Net Debt(In $M),NBR,"1,857","1,510","1,303"
Research & Development Exp.(In $M),NBR,45,40,-
Capital Expenditure(In $M),NBR,435,453,571
"Selling, General & Admin. Exp.(In $M)",NBR,255,263,252
Shareholder’s Equity(In $M),NBR,870,"1,002","1,323"
Total Assets(In $M),NBR,"4,891","4,867","5,177"
