,ticker,2023,2024,2025
Revenue(In $M),XRX,"6,983","6,860","6,714"
Dividend,XRX,1.01,1.02,1.10
Dividend Yield (in %),XRX,6.59 %,6.70 %,7.25 %
EPS,XRX,1.50,1.71,1.79
P/E Ratio,XRX,9.22,8.12,7.73
EBIT(In $M),XRX,365,405,385
EBITDA(In $M),XRX,619,644,633
Net Profit(In $M),XRX,231,288,265
Net Profit Adjusted(In $M),XRX,242,262,234
Pre-Tax Profit(In $M),XRX,341,371,404
Net Profit (Adjusted)(In $M),XRX,369,425,494
EPS (Non-GAAP) ex. SOE(In $),XRX,1.50,1.71,1.79
EPS (GAAP)(In $),XRX,1.42,1.97,1.90
Gross Income(In $M),XRX,"2,384","2,304","2,312"
Cash Flow from Investing(In $M),XRX,-59,-60,-
Cash Flow from Operations(In $M),XRX,601,636,944
Cash Flow from Financing(In $M),XRX,-632,-266,-
Cash Flow per Share(In $),XRX,3.81,4.02,-
Free Cash Flow(In $M),XRX,543,570,844
Free Cash Flow per Share(In $),XRX,-,-,-
Book Value per Share(In $),XRX,23.44,24.07,22.72
Net Debt(In $M),XRX,"2,162","1,985","2,630"
Research & Development Exp.(In $M),XRX,332,-,-
Capital Expenditure(In $M),XRX,58,66,100
"Selling, General & Admin. Exp.(In $M)",XRX,"1,616","1,519",-
Shareholder’s Equity(In $M),XRX,"3,720","3,800",-
Total Assets(In $M),XRX,"10,910","10,871",-
