,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),XYL,5522.0,5522.0,5195.0,4876.0,5249.0
Cost of revenue(figures in $M),XYL,3438.0,3438.0,3220.0,3046.0,3203.0
Gross profit(figures in $M),XYL,2084.0,2084.0,1975.0,1830.0,2046.0
Research development(figures in $M),XYL,206.0,206.0,204.0,187.0,191.0
Selling general and administrative(figures in $M),XYL,1227.0,1227.0,1179.0,1143.0,1158.0
Total operating expenses(figures in $M),XYL,1433.0,1433.0,1383.0,1330.0,1349.0
Operating income or loss(figures in $M),XYL,651.0,651.0,592.0,500.0,697.0
Interest expense(figures in $M),XYL,50.0,50.0,76.0,77.0,67.0
Total other income/expenses net(figures in $M),XYL,-177.0,-161.0,-5.0,-138.0,-214.0
Income before tax(figures in $M),XYL,440.0,440.0,511.0,285.0,416.0
Income tax expense(figures in $M),XYL,85.0,85.0,84.0,31.0,15.0
Income from continuing operations(figures in $M),XYL,355.0,355.0,427.0,254.0,401.0
Net income(figures in $M),XYL,355.0,355.0,427.0,254.0,401.0
Net income available to common shareholders(figures in $M),XYL,355.0,355.0,427.0,254.0,401.0
Basic EPS(figures in $M),XYL,,1.9699999999999998e-06,2.37e-06,1.4099999999999998e-06,2.23e-06
Diluted EPS(figures in $M),XYL,,1.96e-06,2.35e-06,1.4e-06,2.21e-06
Basic average shares(figures in $M),XYL,,180.217,180.247,180.116,179.987
Diluted average shares(figures in $M),XYL,,180.979,181.526,181.099,181.196
EBITDA(figures in $M),XYL,,726.0,832.0,613.0,740.0
