,2022,2021,2020,2019,2018,ticker
Current ratio,1.894,2.272,1.801,1.632,1.508,XYL
Quick ratio,1.283,1.655,1.430,1.173,0.955,XYL
Cash ratio,0.594,0.970,0.959,0.482,0.213,XYL
Days of sales outstanding,72.445,66.958,69.092,72.040,72.271,XYL
Days of inventory outstanding,84.827,79.348,66.865,61.422,68.273,XYL
Operating cycle,157.272,146.305,135.957,133.462,140.544,XYL
Days of payables outstanding,76.758,72.433,68.183,68.032,67.240,XYL
Cash conversion cycle,80.513,73.872,67.774,65.431,73.304,XYL
Gross profit margin,0.377,0.380,0.375,0.390,0.389,XYL
Operating profit margin,0.113,0.113,0.102,0.132,0.126,XYL
Pretax profit margin,0.080,0.098,0.058,0.079,0.112,XYL
Net profit margin,0.064,0.082,0.052,0.076,0.105,XYL
Effective tax rate,0.193,0.164,0.109,0.036,0.062,XYL
Return on assets,0.045,0.052,0.029,0.052,0.076,XYL
Return on equity,0.102,0.133,0.086,0.136,0.198,XYL
Return on capital employed,0.098,0.085,0.073,0.112,0.112,XYL
Net income per EBT,0.807,0.836,0.891,0.964,0.938,XYL
Ebt per ebit,0.707,0.874,0.576,0.600,0.894,XYL
Ebit per revenue,0.113,0.113,0.102,0.132,0.126,XYL
Debt ratio,0.559,0.610,0.660,0.615,0.615,XYL
Debt equity ratio,0.558,0.780,1.039,0.783,0.834,XYL
Long term debt to capitalization,0.350,0.431,0.456,0.408,0.426,XYL
Total debt to capitalization,0.358,0.438,0.510,0.439,0.455,XYL
Interest coverage,12.440,7.697,6.429,10.343,7.976,XYL
Cash flow to debt ratio,0.306,0.214,0.267,0.362,0.254,XYL
Company equity multiplier,2.276,2.572,2.948,2.607,2.609,XYL
Receivables turnover,5.038,5.451,5.283,5.067,5.050,XYL
Payables turnover,4.755,5.039,5.353,5.365,5.428,XYL
Inventory turnover,4.303,4.600,5.459,5.942,5.346,XYL
Fixed asset turnover,8.765,8.067,7.422,7.977,7.938,XYL
Asset turnover,0.694,0.628,0.557,0.681,0.721,XYL
Operating cash flow per share,3.307,2.985,4.575,4.661,3.259,XYL
Free cash flow per share,2.153,1.831,3.559,3.406,1.941,XYL
Cash per share,5.238,7.484,10.410,4.023,1.646,XYL
Payout ratio,0.611,0.475,0.740,0.434,0.277,XYL
Operating cash flow sales ratio,0.108,0.104,0.169,0.160,0.113,XYL
Free cash flow operating cash flow ratio,0.651,0.613,0.778,0.731,0.596,XYL
Cash flow coverage ratios,0.306,0.214,0.267,0.362,0.254,XYL
Short term coverage ratios,8.638,7.797,1.373,3.040,2.280,XYL
Capital expenditure coverage ratio,-2.865,-2.587,-4.503,-3.712,-2.473,XYL
Dividend paid and capex coverage ratio,66.222,-107.600,164.800,-16.135,-6.894,XYL
Dividend payout ratio,0.611,0.475,0.740,0.434,0.277,XYL
Price book value ratio,5.703,6.717,6.177,4.796,4.334,XYL
Price to book ratio,5.703,6.717,6.177,4.796,4.334,XYL
Price to sales ratio,3.609,4.161,3.760,2.702,2.304,XYL
Price earnings ratio,56.131,50.621,72.181,35.365,21.851,XYL
Price to free cash flows ratio,51.357,65.501,28.602,23.134,34.373,XYL
Price to operating cash flows ratio,33.434,40.177,22.250,16.902,20.471,XYL
Price cash flow ratio,33.434,40.177,22.250,16.902,20.471,XYL
Price earnings to growth ratio,-3.326,0.743,-1.963,-1.315,0.332,XYL
Price sales ratio,3.609,4.161,3.760,2.702,2.304,XYL
Dividend yield,0.011,0.009,0.010,0.012,0.013,XYL
Enterprise value multiple,27.669,27.128,26.197,16.603,15.095,XYL
Price fair value,5.703,6.717,6.177,4.796,4.334,XYL
