,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),XYL,944.0,1349.0,1875.0,724.0
Total cash(figures in $M),XYL,944.0,1349.0,1875.0,724.0
Net receivables(figures in $M),XYL,1096.0,953.0,923.0,1036.0
Inventory(figures in $M),XYL,799.0,700.0,558.0,539.0
Other current assets(figures in $M),XYL,173.0,0.0,0.0,0.0
Total current assets(figures in $M),XYL,3012.0,3160.0,3523.0,2450.0
"Gross property, plant and equipment(figures in $M)",XYL,1787.0,1826.0,1814.0,1702.0
Accumulated depreciation(figures in $M),XYL,-1157.0,-1182.0,-1157.0,-1044.0
"Net property, plant and equipment(figures in $M)",XYL,630.0,644.0,657.0,658.0
Goodwill(figures in $M),XYL,2719.0,2792.0,2854.0,2839.0
Intangible assets(figures in $M),XYL,930.0,1016.0,1093.0,1174.0
Other long-term assets(figures in $M),XYL,661.0,664.0,623.0,589.0
Total non-current assets(figures in $M),XYL,4940.0,5116.0,5227.0,5260.0
Total assets(figures in $M),XYL,7952.0,8276.0,8750.0,7710.0
Current debt(figures in $M),XYL,0.0,0.0,600.0,276.0
Accounts payable(figures in $M),XYL,723.0,639.0,569.0,597.0
Accrued liabilities(figures in $M),XYL,867.0,752.0,787.0,628.0
Other current liabilities(figures in $M),XYL,867.0,0.0,0.0,0.0
Total current liabilities(figures in $M),XYL,1590.0,1391.0,1956.0,1501.0
Long-term debt(figures in $M),XYL,1880.0,2440.0,2484.0,2040.0
Deferred tax liabilities(figures in $M),XYL,222.0,287.0,242.0,310.0
Total non-current liabilities(figures in $M),XYL,2859.0,3659.0,3818.0,3242.0
Total liabilities(figures in $M),XYL,4449.0,5050.0,5774.0,4743.0
Common stock(figures in $M),XYL,2.0,2.0,2.0,2.0
Retained earnings(figures in $M),XYL,2292.0,2154.0,1930.0,1866.0
Accumulated other comprehensive income(figures in $M),XYL,-226.0,-371.0,-413.0,-375.0
Total stockholders' equity(figures in $M),XYL,3494.0,3218.0,2968.0,2957.0
Total liabilities and stockholders' equity(figures in $M),XYL,7952.0,8276.0,8750.0,7710.0
