,ticker,2023,2024,2025,2026
Revenue(In $M),XYL,-,-,-,"6,973"
Dividend,XYL,1.29,1.38,1.43,1.32
Dividend Yield (in %),XYL,1.21 %,1.31 %,1.44 %,1.32 %
EPS,XYL,3.22,3.61,-,4.54
P/E Ratio,XYL,33.06,29.46,25.54,23.44
EBIT(In $M),XYL,763,888,999,"1,192"
EBITDA(In $M),XYL,-,-,-,"1,363"
Net Profit(In $M),XYL,585,663,741,817
Net Profit Adjusted(In $M),XYL,585,663,741,817
Pre-Tax Profit(In $M),XYL,721,817,910,"1,014"
Net Profit (Adjusted)(In $M),XYL,688,785,-,-
EPS (Non-GAAP) ex. SOE(In $),XYL,3.23,3.62,-,4.54
EPS (GAAP)(In $),XYL,2.95,3.25,-,-
Gross Income(In $M),XYL,"2,250","2,398","2,537","2,697"
Cash Flow from Investing(In $M),XYL,-235,-232,-247,-244
Cash Flow from Operations(In $M),XYL,890,987,996,"1,027"
Cash Flow from Financing(In $M),XYL,-541,-392,-254,-243
Cash Flow per Share(In $),XYL,4.63,5.11,-,-
Free Cash Flow(In $M),XYL,603,660,808,905
Free Cash Flow per Share(In $),XYL,3.23,3.31,3.97,4.39
Book Value per Share(In $),XYL,20.46,23.06,-,-
Net Debt(In $M),XYL,318,-98,-545,-
Research & Development Exp.(In $M),XYL,216,227,249,272
Capital Expenditure(In $M),XYL,235,232,247,244
"Selling, General & Admin. Exp.(In $M)",XYL,"1,296","1,362","1,330","1,385"
Shareholder’s Equity(In $M),XYL,"3,847","4,308","4,830","5,377"
Total Assets(In $M),XYL,"8,365","8,888","9,495","9,964"
