,2020,2019,2018,2017,2016,ticker
Current ratio,2.202,1.820,1.964,2.226,2.834,LM
Quick ratio,2.084,1.721,1.862,2.114,2.736,LM
Cash ratio,1.100,0.830,0.750,0.906,1.579,LM
Days of sales outstanding,56.899,60.670,64.231,63.687,56.189,LM
Days of inventory outstanding,0,0,0,0,0,LM
Operating cycle,56.899,60.670,64.231,63.687,56.189,LM
Days of payables outstanding,0,0,0,0,0,LM
Cash conversion cycle,56.899,60.670,64.231,63.687,56.189,LM
Gross profit margin,0.367,0.367,0.364,0.342,0.342,LM
Operating profit margin,0.173,0.161,0.166,0.158,0.159,LM
Pretax profit margin,0.140,0.010,0.074,0.128,-0.009,LM
Net profit margin,0.086,-0.010,0.091,0.079,-0.009,LM
Effective tax rate,0.258,0.722,-0.438,0.227,-0.305,LM
Return on assets,0.031,-0.004,0.035,0.027,-0.003,LM
Return on equity,0.066,-0.008,0.075,0.057,-0.006,LM
Return on capital employed,0.071,0.070,0.073,0.061,0.063,LM
Net income per EBT,0.612,-1.000,1.219,0.613,0.993,LM
Ebt per ebit,0.814,0.061,0.448,0.811,-0.060,LM
Ebit per revenue,0.173,0.161,0.166,0.158,0.159,LM
Debt ratio,0.523,0.527,0.527,0.516,0.437,LM
Debt equity ratio,1.103,1.122,1.124,1.074,0.780,LM
Long term debt to capitalization,0.342,0.350,0.367,0.358,0.292,LM
Total debt to capitalization,0.390,0.404,0.419,0.404,0.354,LM
Interest coverage,4.589,3.996,4.426,4.040,8.704,LM
Cash flow to debt ratio,0.231,0.226,0.179,0.200,0.197,LM
Company equity multiplier,2.111,2.130,2.132,2.081,1.785,LM
Receivables turnover,6.415,6.016,5.683,5.731,6.496,LM
Payables turnover,0,0,0,0,0,LM
Inventory turnover,0,0,0,0,0,LM
Fixed asset turnover,6.863,19.356,21.160,18.081,16.294,LM
Asset turnover,0.365,0.372,0.385,0.348,0.354,LM
Operating cash flow per share,6.456,6.566,5.433,5.367,4.231,LM
Free cash flow per share,6.115,5.965,5.021,4.969,3.856,LM
Cash per share,16.985,16.715,14.059,12.003,17.626,LM
Payout ratio,0.549,-4.026,0.358,0.387,-3.359,LM
Operating cash flow sales ratio,0.192,0.193,0.157,0.187,0.171,LM
Free cash flow operating cash flow ratio,0.947,0.908,0.924,0.926,0.911,LM
Cash flow coverage ratios,0.231,0.226,0.179,0.200,0.197,LM
Short term coverage ratios,1.229,1.107,0.914,1.140,0.806,LM
Capital expenditure coverage ratio,-18.934,-10.926,-13.199,-13.502,-11.268,LM
Dividend paid and capex coverage ratio,5.174,8.843,7.603,11.264,10.384,LM
Dividend payout ratio,0.549,-4.026,0.358,0.387,-3.359,LM
Price book value ratio,1.118,0.655,0.964,0.912,0.884,LM
Price to book ratio,1.118,0.655,0.964,0.912,0.884,LM
Price to sales ratio,1.452,0.826,1.175,1.258,1.400,LM
Price earnings ratio,16.875,-84.111,12.938,15.982,-148.803,LM
Price to free cash flows ratio,7.989,4.706,8.096,7.267,8.995,LM
Price to operating cash flows ratio,7.567,4.275,7.482,6.729,8.196,LM
Price cash flow ratio,7.567,4.275,7.482,6.729,8.196,LM
Price earnings to growth ratio,0.020,0.747,0.337,0.016,1.327,LM
Price sales ratio,1.452,0.826,1.175,1.258,1.400,LM
Dividend yield,0.033,0.048,0.028,0.024,0.023,LM
Enterprise value multiple,10.570,21.708,15.300,11.080,51.419,LM
Price fair value,1.118,0.655,0.964,0.912,0.884,LM
