,ticker,2023,2024,2025
Revenue(In $M),EMN,"10,282","10,722","11,240"
Dividend,EMN,3.17,3.34,3.62
Dividend Yield (in %),EMN,3.83 %,4.05 %,4.36 %
EPS,EMN,7.86,8.88,9.96
P/E Ratio,EMN,10.04,8.89,7.92
EBIT(In $M),EMN,"1,323","1,472","1,602"
EBITDA(In $M),EMN,"1,828","1,977","2,127"
Net Profit(In $M),EMN,931,"1,051","1,168"
Net Profit Adjusted(In $M),EMN,935,"1,061","1,173"
Pre-Tax Profit(In $M),EMN,"1,129","1,284","1,433"
Net Profit (Adjusted)(In $M),EMN,"1,115","1,288","1,403"
EPS (Non-GAAP) ex. SOE(In $),EMN,7.86,8.88,9.96
EPS (GAAP)(In $),EMN,7.55,8.96,9.95
Gross Income(In $M),EMN,"2,299","2,455","2,588"
Cash Flow from Investing(In $M),EMN,-821,-836,-883
Cash Flow from Operations(In $M),EMN,"1,353","1,439","1,632"
Cash Flow from Financing(In $M),EMN,-235,-695,-805
Cash Flow per Share(In $),EMN,10.14,11.57,16.55
Free Cash Flow(In $M),EMN,640,686,822
Free Cash Flow per Share(In $),EMN,5.23,5.54,8.18
Book Value per Share(In $),EMN,55.34,59.35,65.77
Net Debt(In $M),EMN,"4,471","4,264","4,084"
Research & Development Exp.(In $M),EMN,260,260,277
Capital Expenditure(In $M),EMN,738,798,858
"Selling, General & Admin. Exp.(In $M)",EMN,772,792,872
Shareholder’s Equity(In $M),EMN,"5,655","6,179","6,781"
Total Assets(In $M),EMN,"15,265","15,717","16,347"
