,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),EMN,10580.0,10580.0,10476.0,8473.0,9273.0
Cost of revenue(figures in $M),EMN,8443.0,8443.0,7976.0,6498.0,7039.0
Gross profit(figures in $M),EMN,2137.0,2137.0,2500.0,1975.0,2234.0
Research development(figures in $M),EMN,264.0,264.0,254.0,226.0,234.0
Selling general and administrative(figures in $M),EMN,726.0,726.0,795.0,654.0,691.0
Total operating expenses(figures in $M),EMN,990.0,990.0,1049.0,880.0,925.0
Operating income or loss(figures in $M),EMN,1147.0,1147.0,1451.0,1095.0,1309.0
Interest expense(figures in $M),EMN,188.0,182.0,198.0,210.0,218.0
Total other income/expenses net(figures in $M),EMN,12.0,12.0,-171.0,-355.0,-189.0
Income before tax(figures in $M),EMN,977.0,977.0,1082.0,530.0,902.0
Income tax expense(figures in $M),EMN,181.0,181.0,215.0,41.0,140.0
Income from continuing operations(figures in $M),EMN,796.0,796.0,867.0,489.0,762.0
Net income(figures in $M),EMN,793.0,793.0,857.0,478.0,759.0
Net income available to common shareholders(figures in $M),EMN,793.0,793.0,857.0,478.0,759.0
Basic EPS(figures in $M),EMN,,,6.349999999999999e-06,3.5299999999999997e-06,5.52e-06
Diluted EPS(figures in $M),EMN,,,6.25e-06,3.5e-06,5.48e-06
Basic average shares(figures in $M),EMN,,,134.9,135.5,137.4
Diluted average shares(figures in $M),EMN,,,137.1,136.5,138.5
EBITDA(figures in $M),EMN,,1636.0,1818.0,1314.0,1731.0
