,2016,2015,2014,2013,2012,ticker
Current ratio,9.750,8.664,6.344,1.749,8.825,LLTC
Quick ratio,8.922,7.555,5.514,1.628,7.950,LLTC
Cash ratio,1.465,1.070,0.731,0.123,1.251,LLTC
Days of sales outstanding,40.362,44.356,45.570,41.354,44.116,LLTC
Days of inventory outstanding,103.248,102.464,98.435,98.719,93.036,LLTC
Operating cycle,143.610,146.820,144.005,140.073,137.152,LLTC
Days of payables outstanding,18.542,18.067,30.423,11.609,13.382,LLTC
Cash conversion cycle,125.068,128.753,113.582,128.464,123.769,LLTC
Gross profit margin,0.759,0.759,0.756,0.748,0.753,LLTC
Operating profit margin,0.445,0.463,0.461,0.447,0.460,LLTC
Pretax profit margin,0.449,0.465,0.433,0.412,0.423,LLTC
Net profit margin,0.347,0.353,0.331,0.317,0.314,LLTC
Effective tax rate,0.227,0.240,0.235,0.231,0.257,LLTC
Return on assets,0.241,0.277,0.278,0.194,0.215,LLTC
Return on equity,0.281,0.330,0.345,0.414,0.541,LLTC
Return on capital employed,0.339,0.401,0.444,0.534,0.346,LLTC
Net income per EBT,0.773,0.760,0.765,0.769,0.743,LLTC
Ebt per ebit,1.009,1.004,0.940,0.923,0.921,LLTC
Ebit per revenue,0.445,0.463,0.461,0.447,0.460,LLTC
Debt ratio,0.142,0.162,0.196,0.532,0.602,LLTC
Debt equity ratio,0,0,0,0.842,2.188,LLTC
Long term debt to capitalization,0,0,0,0,0.522,LLTC
Total debt to capitalization,0,0,0,0.457,0.686,LLTC
Interest coverage,0,0,15.539,11.856,12.249,LLTC
Cash flow to debt ratio,0,0,0,0.682,0.351,LLTC
Company equity multiplier,1.165,1.194,1.244,2.137,2.513,LLTC
Receivables turnover,9.043,8.229,8.010,8.826,8.274,LLTC
Payables turnover,19.685,20.203,11.997,31.440,27.275,LLTC
Inventory turnover,3.535,3.562,3.708,3.697,3.923,LLTC
Fixed asset turnover,4.981,5.127,5.011,4.445,3.955,LLTC
Asset turnover,0.695,0.783,0.839,0.611,0.684,LLTC
Operating cash flow per share,2.800,2.450,2.480,2.382,2.426,LLTC
Free cash flow per share,2.607,2.195,2.323,2.308,2.272,LLTC
Cash per share,5.919,4.921,4.211,6.442,5.163,LLTC
Payout ratio,0.614,0.534,0.555,0.593,0.574,LLTC
Operating cash flow sales ratio,0.481,0.406,0.430,0.440,0.446,LLTC
Free cash flow operating cash flow ratio,0.931,0.896,0.937,0.969,0.937,LLTC
Cash flow coverage ratios,0,0,0,0.682,0.351,LLTC
Short term coverage ratios,0,0,0,0.682,0.702,LLTC
Capital expenditure coverage ratio,-14.473,-9.574,-15.833,-31.969,-15.819,LLTC
Dividend paid and capex coverage ratio,2.676,2.775,2.740,2.521,2.932,LLTC
Dividend payout ratio,0.614,0.534,0.555,0.593,0.574,LLTC
Price book value ratio,6.428,6.869,8.503,8.859,9.918,LLTC
Price to book ratio,6.428,6.869,8.503,8.859,9.918,LLTC
Price to sales ratio,7.942,7.348,8.154,6.784,5.767,LLTC
Price earnings ratio,22.875,20.807,24.611,21.377,18.349,LLTC
Price to free cash flows ratio,17.732,20.209,20.260,15.923,13.796,LLTC
Price to operating cash flows ratio,16.507,18.098,18.980,15.425,12.924,LLTC
Price cash flow ratio,16.507,18.098,18.980,15.425,12.924,LLTC
Price earnings to growth ratio,-4.393,1.817,2.188,34.450,-0.572,LLTC
Price sales ratio,7.942,7.348,8.154,6.784,5.767,LLTC
Dividend yield,0.027,0.026,0.023,0.028,0.031,LLTC
Enterprise value multiple,15.987,14.394,15.675,14.380,13.201,LLTC
Price fair value,6.428,6.869,8.503,8.859,9.918,LLTC
