,ticker,2023,2024,2025,2026,2027
Revenue(In $M),UNH,"364,053","389,100","422,603","468,805","522,341"
Dividend,UNH,6.88,7.62,8.32,-,-
Dividend Yield (in %),UNH,1.50 %,1.64 %,1.77 %,-,-
EPS,UNH,24.98,28.15,31.96,37.36,42.34
P/E Ratio,UNH,19.70,17.48,15.39,13.17,11.62
EBIT(In $M),UNH,"31,976","35,448","39,638","45,471","49,300"
EBITDA(In $M),UNH,"35,999","39,691","44,022","47,748","52,553"
Net Profit(In $M),UNH,"22,439","25,127","28,541","32,574","36,122"
Net Profit Adjusted(In $M),UNH,"23,134","25,795","28,922","33,947",-
Pre-Tax Profit(In $M),UNH,"29,270","32,698","36,849","42,482","46,064"
Net Profit (Adjusted)(In $M),UNH,"29,083","31,963","33,719",-,-
EPS (Non-GAAP) ex. SOE(In $),UNH,23.69,27.26,31.01,38.02,43.14
EPS (GAAP)(In $),UNH,23.69,26.85,30.91,36.01,41.05
Gross Income(In $M),UNH,"90,219","97,932","107,922",-,-
Cash Flow from Investing(In $M),UNH,"-11,507","-7,124","-11,382","-16,574","-17,479"
Cash Flow from Operations(In $M),UNH,"29,965","32,351","35,527","40,309","40,933"
Cash Flow from Financing(In $M),UNH,"-4,157","-16,957","-18,280","-16,819","-22,803"
Cash Flow per Share(In $),UNH,32.60,32.57,37.56,-,-
Free Cash Flow(In $M),UNH,"27,259","27,204","29,789","33,019","36,614"
Free Cash Flow per Share(In $),UNH,27.31,-,-,-,-
Book Value per Share(In $),UNH,99.28,111.84,126.94,-,-
Net Debt(In $M),UNH,"25,302","16,190","6,261","7,251",-
Research & Development Exp.(In $M),UNH,-,-,-,-,-
Capital Expenditure(In $M),UNH,"3,172","3,370","3,496","3,645","4,318"
"Selling, General & Admin. Exp.(In $M)",UNH,"54,700","58,056","63,012",-,-
Shareholder’s Equity(In $M),UNH,"93,381","102,822","110,974","129,540","134,095"
Total Assets(In $M),UNH,"279,109","292,190","311,782","341,942","331,953"
