,ticker,2023,2024,2025,2026,2027,2028
Revenue(In $M),TJX,"49,472","53,147","55,782","59,055","63,655","68,353"
Dividend,TJX,1.17,1.33,1.45,1.63,1.96,2.25
Dividend Yield (in %),TJX,1.56 %,1.78 %,1.95 %,2.18 %,2.53 %,3.01 %
EPS,TJX,3.12,3.53,3.90,4.36,4.76,5.42
P/E Ratio,TJX,24.74,21.88,19.78,17.70,16.20,14.23
EBIT(In $M),TJX,"4,891","5,437","5,958","6,588","7,522","8,546"
EBITDA(In $M),TJX,"5,834","6,403","6,980","7,628","8,632","9,781"
Net Profit(In $M),TJX,"3,601","4,082","4,437","4,872","5,473","6,230"
Net Profit Adjusted(In $M),TJX,"3,660","4,079","4,418","4,855",-,-
Pre-Tax Profit(In $M),TJX,"4,845","5,518","5,981","6,569","7,406","8,430"
Net Profit (Adjusted)(In $M),TJX,"4,734","5,607","6,047","6,510",-,-
EPS (Non-GAAP) ex. SOE(In $),TJX,3.12,3.53,3.90,4.36,4.76,5.42
EPS (GAAP)(In $),TJX,2.98,3.52,3.88,4.28,4.92,-
Gross Income(In $M),TJX,"14,168","15,176","16,204","17,307","18,333","19,959"
Cash Flow from Investing(In $M),TJX,"-1,599","-1,761","-1,786","-1,695","-1,700",-
Cash Flow from Operations(In $M),TJX,"3,492","5,066","5,092","6,073","6,352","7,204"
Cash Flow from Financing(In $M),TJX,"-3,877","-3,998","-3,560","-3,785","-3,521",-
Cash Flow per Share(In $),TJX,3.36,4.19,4.70,4.93,-,-
Free Cash Flow(In $M),TJX,"1,752","3,125","3,501","4,266","4,506","5,290"
Free Cash Flow per Share(In $),TJX,1.02,2.22,2.87,3.76,3.92,4.60
Book Value per Share(In $),TJX,4.86,5.89,6.92,7.63,-,-
Net Debt(In $M),TJX,"-1,588","-1,667","-1,960",845,"-1,318",-
Research & Development Exp.(In $M),TJX,-,-,-,-,-,-
Capital Expenditure(In $M),TJX,"1,659","1,749","1,743","1,734","1,846","1,914"
"Selling, General & Admin. Exp.(In $M)",TJX,"8,988","9,722","10,231","10,718","10,810","11,413"
Shareholder’s Equity(In $M),TJX,"5,829","6,880","7,850","9,177","12,345",-
Total Assets(In $M),TJX,"28,438","29,390","30,284","30,951","32,833",-
