,ticker,ttm,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Total revenue(figures in $M),TJX,49936.0,49936.0,48549.982,32136.962,41716.977
Cost of revenue(figures in $M),TJX,36149.0,36149.0,34713.812,24533.815,29845.78
Gross profit(figures in $M),TJX,13787.0,13787.0,13836.17,7603.147,11871.197
Selling general and administrative(figures in $M),TJX,8927.0,8927.0,9081.238,7020.917,7454.988
Total operating expenses(figures in $M),TJX,8927.0,8927.0,9081.238,7020.917,7454.988
Operating income or loss(figures in $M),TJX,4860.0,4860.0,4754.932,582.23,4416.209
Interest expense(figures in $M),TJX,84.0,84.0,115.076,180.734,10.026
Total other income/expenses net(figures in $M),TJX,-218.0,-218.0,-242.248,-312.233,
Income before tax(figures in $M),TJX,4636.0,4636.0,4397.608,89.263,4406.183
Income tax expense(figures in $M),TJX,1138.0,1138.0,1114.793,-1.207,1133.99
Income from continuing operations(figures in $M),TJX,3498.0,3498.0,3282.815,90.47,3272.193
Net income(figures in $M),TJX,3498.0,3498.0,3282.815,90.47,3272.193
Net income available to common shareholders(figures in $M),TJX,3498.0,3498.0,3282.815,90.47,3272.193
Basic EPS(figures in $M),TJX,,,2.74e-06,8e-08,2.71e-06
Diluted EPS(figures in $M),TJX,,,2.7e-06,7e-08,2.67e-06
Basic average shares(figures in $M),TJX,,,1200.0,1200.0,1208.163
Diluted average shares(figures in $M),TJX,,,1216.0,1215.0,1226.519
EBITDA(figures in $M),TJX,,5747.0,5380.684,1140.797,5283.509
