,ticker,2023,2024,2025,2026,2027
Revenue(In $M),TSLA,"99,810","128,821","160,557","171,605","186,979"
Dividend,TSLA,0.00,0.00,0.00,-,-
Dividend Yield (in %),TSLA,-,-,-,-,-
EPS,TSLA,3.43,4.90,6.30,6.01,6.95
P/E Ratio,TSLA,48.11,33.69,26.20,27.48,23.74
EBIT(In $M),TSLA,"12,159","19,208","24,951","24,471","30,501"
EBITDA(In $M),TSLA,"17,279","24,761","34,881","36,623","38,349"
Net Profit(In $M),TSLA,"11,772","17,542","22,479","21,911","26,110"
Net Profit Adjusted(In $M),TSLA,"11,754","17,487","22,420","20,895","26,110"
Pre-Tax Profit(In $M),TSLA,"12,719","19,576","26,375","27,209","31,116"
Net Profit (Adjusted)(In $M),TSLA,"12,334","19,485","26,766","27,209","31,116"
EPS (Non-GAAP) ex. SOE(In $),TSLA,3.43,4.90,6.30,6.01,6.95
EPS (GAAP)(In $),TSLA,3.08,4.76,5.92,5.99,6.86
Gross Income(In $M),TSLA,"19,996","29,165","37,662","37,249","41,903"
Cash Flow from Investing(In $M),TSLA,"-8,262","-10,207","-11,480","-14,003","-18,704"
Cash Flow from Operations(In $M),TSLA,"17,325","22,203","26,377","28,921","36,552"
Cash Flow from Financing(In $M),TSLA,-132,-361,527,-,-
Cash Flow per Share(In $),TSLA,-,-,-,10.02,-
Free Cash Flow(In $M),TSLA,"7,091","11,937","14,098","17,552","22,872"
Free Cash Flow per Share(In $),TSLA,1.53,3.45,4.14,5.20,-
Book Value per Share(In $),TSLA,16.87,21.56,27.07,27.90,30.90
Net Debt(In $M),TSLA,"-22,392","-31,710","-45,174","-51,971","-24,282"
Research & Development Exp.(In $M),TSLA,"3,357","4,057","4,719","4,904","5,097"
Capital Expenditure(In $M),TSLA,"7,996","9,039","10,080","10,843","11,852"
"Selling, General & Admin. Exp.(In $M)",TSLA,"4,621","5,483","6,330","6,169","6,321"
Shareholder’s Equity(In $M),TSLA,"55,956","72,645","93,756","93,519","91,725"
Total Assets(In $M),TSLA,"97,702","121,645","147,958","148,398",-
