,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),12583.0,12583.0,5519.0,690.0,-862.0,TSLA
Depreciation & amortisation(figures in $M),3747.0,3747.0,2911.0,2322.0,2154.0,TSLA
Stock-based compensation(figures in $M),1560.0,1560.0,2121.0,1734.0,898.0,TSLA
Change in working capital(figures in $M),-3908.0,-3908.0,518.0,184.0,-349.0,TSLA
Accounts receivable(figures in $M),-1124.0,-1124.0,-130.0,-652.0,-367.0,TSLA
Inventory(figures in $M),-6465.0,-6465.0,-1709.0,-422.0,-429.0,TSLA
Other working capital(figures in $M),7552.0,7552.0,3483.0,2701.0,968.0,TSLA
Other non-cash items(figures in $M),340.0,340.0,245.0,408.0,477.0,TSLA
Net cash provided by operating activities(figures in $M),14724.0,14724.0,11497.0,5943.0,2405.0,TSLA
"Investments in property, plant and equipment(figures in $M)",-7172.0,-7172.0,-8014.0,-3242.0,-1437.0,TSLA
"Acquisitions, net(figures in $M)",0.0,0.0,0.0,-13.0,-45.0,TSLA
Purchases of investments(figures in $M),-5835.0,-5835.0,-132.0,0.0,0.0,TSLA
Sales/maturities of investments(figures in $M),22.0,22.0,0.0,0.0,0.0,TSLA
Other investing activities(figures in $M),76.0,76.0,6.0,123.0,46.0,TSLA
Net cash used for investing activities(figures in $M),-11973.0,-11973.0,-7868.0,-3132.0,-1436.0,TSLA
Debt repayment(figures in $M),-3866.0,-3866.0,-14615.0,-12201.0,-389.0,TSLA
Common stock issued(figures in $M),0.0,0.0,0.0,12269.0,848.0,TSLA
Other financing activities(figures in $M),-202.0,-202.0,-178.0,-225.0,222.0,TSLA
Net cash used provided by (used for) financing activities(figures in $M),-3527.0,-3527.0,-5203.0,9973.0,1529.0,TSLA
Net change in cash(figures in $M),-1220.0,-1220.0,-1757.0,13118.0,2506.0,TSLA
Cash at beginning of period(figures in $M),18144.0,18144.0,19901.0,6783.0,4277.0,TSLA
Cash at end of period(figures in $M),16924.0,16924.0,18144.0,19901.0,6783.0,TSLA
Operating cash flow(figures in $M),14724.0,14724.0,11497.0,5943.0,2405.0,TSLA
Capital expenditure(figures in $M),-7172.0,-7172.0,-8014.0,-3242.0,-1437.0,TSLA
Free cash flow(figures in $M),7552.0,7552.0,3483.0,2701.0,968.0,TSLA
