,ticker,2023,2024,2025,2026
Revenue(In $M),ZION,"3,253","3,225","3,239",-
Dividend,ZION,1.68,1.75,2.21,-
Dividend Yield (in %),ZION,5.18 %,5.45 %,6.58 %,-
EPS,ZION,5.22,5.17,5.44,5.85
P/E Ratio,ZION,3.83,3.87,3.68,3.42
EBIT(In $M),ZION,"1,191","1,133","1,125",-
EBITDA(In $M),ZION,-,-,-,-
Net Profit(In $M),ZION,786,771,758,-
Net Profit Adjusted(In $M),ZION,789,785,-,-
Pre-Tax Profit(In $M),ZION,"1,066","1,023","1,007",-
Net Profit (Adjusted)(In $M),ZION,"1,068","1,030","1,032",-
EPS (Non-GAAP) ex. SOE(In $),ZION,5.23,5.23,5.33,-
EPS (GAAP)(In $),ZION,5.22,5.17,5.44,5.85
Gross Income(In $M),ZION,-,-,-,-
Cash Flow from Investing(In $M),ZION,-,-,-,-
Cash Flow from Operations(In $M),ZION,-,-,-,-
Cash Flow from Financing(In $M),ZION,-,-,-,-
Cash Flow per Share(In $),ZION,-,-,-,-
Free Cash Flow(In $M),ZION,-,-,-,-
Free Cash Flow per Share(In $),ZION,-,-,-,-
Book Value per Share(In $),ZION,37.92,43.48,46.00,-
Net Debt(In $M),ZION,-,-,-,-
Research & Development Exp.(In $M),ZION,45,45,-,-
Capital Expenditure(In $M),ZION,-,-,-,-
"Selling, General & Admin. Exp.(In $M)",ZION,-,-,-,-
Shareholder’s Equity(In $M),ZION,"5,496","6,068",-,-
Total Assets(In $M),ZION,"87,910","89,592",-,-
