,ticker,2023,2024,2025,2026,2027
Revenue(In $M),NU,"6,084","7,998","10,307","11,952",-
Dividend,NU,0.00,0.00,0.01,0.10,0.20
Dividend Yield (in %),NU,0.03 %,0.75 %,0.19 %,1.99 %,-
EPS,NU,0.11,0.22,0.40,0.68,0.34
P/E Ratio,NU,48.21,23.62,12.86,7.68,15.24
EBIT(In $M),NU,625,"1,955","3,345","3,765",-
EBITDA(In $M),NU,762,"1,726","3,507","4,106",-
Net Profit(In $M),NU,442,"1,019","1,843","2,847","1,595"
Net Profit Adjusted(In $M),NU,595,"1,158","1,939","3,503",-
Pre-Tax Profit(In $M),NU,575,"1,414","2,626","4,079","2,472"
Net Profit (Adjusted)(In $M),NU,554,"1,106","1,246",-,-
EPS (Non-GAAP) ex. SOE(In $),NU,0.11,0.15,0.20,-,-
EPS (GAAP)(In $),NU,0.08,0.18,0.32,0.67,-
Gross Income(In $M),NU,"2,794","3,947","5,187","7,101",-
Cash Flow from Investing(In $M),NU,-190,-231,-267,-298,-
Cash Flow from Operations(In $M),NU,"3,299","1,568","2,240","4,602",-
Cash Flow from Financing(In $M),NU,0,0,0,-,-
Cash Flow per Share(In $),NU,0.10,0.25,0.39,-,-
Free Cash Flow(In $M),NU,452,"1,275",-,-,-
Free Cash Flow per Share(In $),NU,-,-,-,-,-
Book Value per Share(In $),NU,1.13,1.30,1.60,-,-
Net Debt(In $M),NU,"-3,111","-3,391","-3,634",-,-
Research & Development Exp.(In $M),NU,-,-,-,-,-
Capital Expenditure(In $M),NU,127,154,178,199,-
"Selling, General & Admin. Exp.(In $M)",NU,-,-,-,-,-
Shareholder’s Equity(In $M),NU,"5,349","6,321","7,796","10,549","8,395"
Total Assets(In $M),NU,"41,788","50,139","59,572","56,033","70,271"
