,headline,final_score,datetime
1,June 23rd Options Now Available For Schlumberger (SLB),86,2023-05-04 03:00:00
2,"Schlumberger Ltd. stock falls Thursday, still outperforms market",86,2023-05-03 21:25:00
3,Schlumberger Ltd. stock underperforms Wednesday when compared to competitors,86,2023-05-03 10:24:00
4,Schlumberger Ltd. stock underperforms Tuesday when compared to competitors,86,2023-05-02 10:23:00
7,Schlumberger Ltd. stock outperforms competitors despite losses on the day,86,2023-05-01 10:23:00
8,"Schlumberger Stock Clears Key Benchmark, Hitting 80-Plus RS Rating",86,2023-05-01 07:40:00
10,"Schlumberger Ltd. stock rises Friday, outperforms market",86,2023-04-28 10:23:00
11,Schlumberger Limited (NYSE:SLB) Q1 2023 Earnings Call Transcript,86,2023-04-27 12:03:24
13,"Schlumberger Ltd. stock rises Thursday, still underperforms market",86,2023-04-27 10:24:00
14,A Look At The Fair Value Of Schlumberger Limited (NYSE:SLB),86,2023-04-27 05:00:18
15,SLB Crosses Below Key Moving Average Level,60,2023-04-27 03:20:00
16,Interesting SLB Put And Call Options For June 9th,60,2023-04-27 02:59:00
17,SLB and Halliburton say unnamed customer in Mexico owes more than $1B,60,2023-04-25 22:01:00
20,Schlumberger Stock Reaches 80-Plus Relative Strength Rating Benchmark,86,2023-04-25 07:55:00
22,Analysts Offer Insights on Industrial Goods Companies: Eaton (ETN) and Schlumberger (SLB),86,2023-04-24 22:20:00
23,TD Cowen Maintains Schlumberger (SLB) Outperform Recommendation,86,2023-04-24 21:08:02
24,RBC Capital Reiterates Schlumberger (SLB) Outperform Recommendation,86,2023-04-24 21:08:01
25,Raymond James Maintains Schlumberger (SLB) Outperform Recommendation,86,2023-04-24 21:07:59
26,Benchmark Reiterates Schlumberger (SLB) Buy Recommendation,86,2023-04-24 21:07:59
27,Schlumberger Ltd. stock outperforms market on strong trading day,86,2023-04-24 10:23:00
28,"Analysts Offer Insights on Industrial Goods Companies: Liberty Oilfield Services (LBRT), Carlisle Companies (CSL) and Schlumberger (SLB)",86,2023-04-24 04:41:00
31,"Analysts Conflicted on These Industrial Goods Names: Autoliv (ALV), Alaska Air (ALK) and Schlumberger (SLB)",86,2023-04-24 00:32:00
32,SLB price target lowered to $64 from $65 at TD Cowen,60,2023-04-23 23:30:00
33,Analysts Offer Insights on Industrial Goods Companies: Autoliv (ALV) and Schlumberger (SLB),86,2023-04-23 22:31:00
34,SLB price target raised to $65 from $64 at Raymond James,60,2023-04-23 22:22:00
35,Analysts Offer Insights on Industrial Goods Companies: Alaska Air (ALK) and Schlumberger (SLB),86,2023-04-23 21:51:00
36,Analysts Conflicted on These Industrial Goods Names: Autoliv (ALV) and Schlumberger (SLB),86,2023-04-23 21:21:00
37,Schlumberger First Quarter 2023 Earnings: Beats Expectations,86,2023-04-23 05:11:34
38,Schlumberger (SLB) Declares $0.25 Dividend,86,2023-04-22 19:25:06
39,Q1 2023 Schlumberger NV Earnings Call,86,2023-04-21 22:02:55
40,Unusual Put Option Trade in Schlumberger (SLB)  Worth $216.65K,86,2023-04-21 15:33:42
41,Fracking Leader SLB Reports Surge In Production; OPEC+ Keeping 'Prices At Supportive Levels',60,2023-04-21 13:02:30
42,"SLB Q1 Results Beat Analyst Expectations, Records 30% Revenue Growth",60,2023-04-21 08:26:33
43,"SLB misses on Q1 earnings, reports weaker-than-expected cash flow",60,2023-04-21 06:37:53
44,Schlumberger (SLB) Q1 Earnings: Taking a Look at Key Metrics Versus Estimates,86,2023-04-21 06:30:01
45,Schlumberger Limited (SLB) Q1 2023 Earnings Call Transcript,86,2023-04-21 06:18:06
48,Schlumberger (SLB) Q1 Earnings and Revenues Surpass Estimates,86,2023-04-21 05:05:12
49,SLB Sees ‘Solid’ Outlook and Beat Earnings Expectations. But the Stock Is Down.,60,2023-04-21 05:04:00
50,SLB Announces First-Quarter 2023 Results,60,2023-04-21 03:50:00
56,SLB tops Q1 estimates; North American land activity may plateau this year,60,2023-04-21 00:40:00
57,"Schlumberger`s Q1 earnings, revenues top estimates but fall from Q4",86,2023-04-21 00:35:00
59,Schlumberger stock slips after profit and revenue top expectations but cash flow was well below,86,2023-04-21 00:14:00
60,SLB Unchanged Despite Q1 Beat,60,2023-04-20 23:47:00
61,Schlumberger Posts Q1 Beat,66,2023-04-20 23:30:00
62,"Schlumberger Non-GAAP EPS of $0.63 beats by $0.02, revenue of $7.7B beats by $240M",86,2023-04-20 22:57:00
63,Schlumberger declares $0.25 dividend,86,2023-04-20 22:57:00
64,"SLB sees strong growth, seasonal recovery in Northern Hemisphere in Q2",60,2023-04-20 22:55:00
65,SLB CEO `very pleased` with start to 2023,60,2023-04-20 22:53:00
66,SLB reports Q1 cash flow from operations $330M,60,2023-04-20 22:51:00
67,"SLB reports Q1 adjusted EPS 63c, consensus 60c",60,2023-04-20 22:50:00
69,"Schlumberger Ltd. stock falls Friday, underperforms market",86,2023-04-20 21:24:00
72,Oil Field Services Giant SLB Earnings Due As Baker Hughes Sees Middle East Revenue Increases 23%,60,2023-04-20 13:07:30
73,"Schlumberger Ltd. stock falls Thursday, underperforms market",86,2023-04-20 10:23:00
74,"Procter & Gamble, Schlumberger, Freeport McMoran: 3 things to watch",86,2023-04-20 08:46:36
75,Why Schlumberger (SLB) is a Top Value Stock for the Long-Term,86,2023-04-20 06:40:01
77,"SLB Q1 2023 earnings on deck, what to expect",60,2023-04-19 18:56:00
80,Schlumberger Ltd. stock underperforms Wednesday when compared to competitors despite daily gains,86,2023-04-19 10:23:00
81,Wall Street Analysts Think Schlumberger (SLB) Could Surge 25.44%: Read This Before Placing a Bet,86,2023-04-19 06:55:01
83,Q1 2023 Earnings Preview: An Important Day For Schlumberger,86,2023-04-19 00:30:00
84,Morgan Stanley Maintains Schlumberger (SLB) Overweight Recommendation,86,2023-04-18 20:18:57
85,"Schlumberger raised to Buy at UBS, sparked by high-margin Digital business",86,2023-04-18 20:04:00
87,"Schlumberger Ltd. stock rises Tuesday, outperforms market",86,2023-04-18 10:23:00
89,SLB price target raised to $60 from $55 at Morgan Stanley,60,2023-04-18 00:15:00
90,SLB upgraded to Buy from Neutral at UBS,60,2023-04-17 22:32:00
92,"Schlumberger Ltd. stock falls Monday, underperforms market",86,2023-04-17 10:23:00
