,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),ALTR,572.221,572.221,532.179,469.921,458.915
Cost of revenue(figures in $M),ALTR,122.889,122.889,129.666,121.305,132.599
Gross profit(figures in $M),ALTR,449.332,449.332,402.513,348.616,326.316
Research development(figures in $M),ALTR,185.863,185.863,151.049,126.081,117.51
Selling general and administrative(figures in $M),ALTR,252.851,252.851,224.25,197.872,188.229
Total operating expenses(figures in $M),ALTR,456.269,456.269,390.174,336.903,318.109
Operating income or loss(figures in $M),ALTR,-6.937,-6.937,12.339,11.713,8.207
Interest expense(figures in $M),ALTR,4.377,4.377,12.065,11.598,6.371
Total other income/expenses net(figures in $M),ALTR,-16.899,-16.899,-0.562,1.917,1.552
Income before tax(figures in $M),ALTR,-28.213,-28.213,-0.288,2.032,3.388
Income tax expense(figures in $M),ALTR,15.216,15.216,8.506,12.532,10.93
Income from continuing operations(figures in $M),ALTR,-43.429,-43.429,-8.794,-10.5,-7.542
Net income(figures in $M),ALTR,-43.429,-43.429,-8.794,-10.5,-7.542
Net income available to common shareholders(figures in $M),ALTR,-43.429,-43.429,-8.794,-10.5,-7.542
Basic EPS(figures in $M),ALTR,,-5.5e-07,-1.2e-07,-1.4e-07,-1.1e-07
Diluted EPS(figures in $M),ALTR,,-5.5e-07,-1.2e-07,-1.4e-07,-1.1e-07
Basic average shares(figures in $M),ALTR,,79.472,76.179,73.241,71.544
Diluted average shares(figures in $M),ALTR,,79.472,76.179,73.241,71.544
EBITDA(figures in $M),ALTR,,11.668,37.421,37.436,31.281
