,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),-1438.0,-1647.0,7724.0,-374.0,4186.0,PRU
Depreciation & amortisation(figures in $M),124.0,124.0,204.0,457.0,460.0,PRU
Change in working capital(figures in $M),1312.0,1312.0,3299.0,3027.0,13175.0,PRU
Other working capital(figures in $M),5158.0,5158.0,9812.0,8368.0,19625.0,PRU
Other non-cash items(figures in $M),-2532.0,-2532.0,-2302.0,-2652.0,-2616.0,PRU
Net cash provided by operating activities(figures in $M),5158.0,5158.0,9812.0,8368.0,19625.0,PRU
"Acquisitions, net(figures in $M)",0.0,0.0,0.0,0.0,-1755.0,PRU
Purchases of investments(figures in $M),-118586.0,-118586.0,-133059.0,-144488.0,-122715.0,PRU
Sales/maturities of investments(figures in $M),110051.0,110051.0,127445.0,127190.0,111683.0,PRU
Other investing activities(figures in $M),-98.0,-98.0,-596.0,-278.0,-437.0,PRU
Net cash used for investing activities(figures in $M),-7638.0,-7638.0,-5342.0,-16210.0,-17028.0,PRU
Debt repayment(figures in $M),-1184.0,-1184.0,-1708.0,-2762.0,-2067.0,PRU
Common stock repurchased(figures in $M),-1488.0,-1488.0,-2500.0,-500.0,-2500.0,PRU
Dividends paid(figures in $M),-1817.0,-1817.0,-1814.0,-1766.0,-1641.0,PRU
Other financing activities(figures in $M),8171.0,8171.0,2204.0,6267.0,642.0,PRU
Net cash used provided by (used for) financing activities(figures in $M),4933.0,4933.0,-3011.0,4883.0,-1634.0,PRU
Net change in cash(figures in $M),4365.0,4365.0,-921.0,-2619.0,979.0,PRU
Cash at beginning of period(figures in $M),12934.0,12934.0,13855.0,16474.0,15495.0,PRU
Cash at end of period(figures in $M),17299.0,17299.0,12934.0,13855.0,16474.0,PRU
Operating cash flow(figures in $M),5158.0,5158.0,9812.0,8368.0,19625.0,PRU
Free cash flow(figures in $M),5158.0,5158.0,9812.0,8368.0,19625.0,PRU
