,ticker,2023,2024,2025
Revenue(In $M),PRU,"52,599","53,186","53,851"
Dividend,PRU,5.00,5.24,5.49
Dividend Yield (in %),PRU,6.00 %,6.29 %,6.63 %
EPS,PRU,12.13,13.02,13.77
P/E Ratio,PRU,6.47,6.03,5.70
EBIT(In $M),PRU,"5,874","6,150","6,095"
EBITDA(In $M),PRU,"6,355","6,627","7,125"
Net Profit(In $M),PRU,"4,484","4,689","4,814"
Net Profit Adjusted(In $M),PRU,"4,447","4,706","4,824"
Pre-Tax Profit(In $M),PRU,"5,728","6,065","6,180"
Net Profit (Adjusted)(In $M),PRU,"5,598","6,081","6,130"
EPS (Non-GAAP) ex. SOE(In $),PRU,12.13,13.02,13.77
EPS (GAAP)(In $),PRU,12.13,12.76,13.72
Gross Income(In $M),PRU,-,-,-
Cash Flow from Investing(In $M),PRU,"-4,509","-5,779","-5,904"
Cash Flow from Operations(In $M),PRU,"8,479","7,565","8,822"
Cash Flow from Financing(In $M),PRU,-,-,-
Cash Flow per Share(In $),PRU,16.05,17.49,-
Free Cash Flow(In $M),PRU,"8,379","4,855","4,688"
Free Cash Flow per Share(In $),PRU,7.62,-,-
Book Value per Share(In $),PRU,93.51,99.56,99.39
Net Debt(In $M),PRU,"11,577","11,652","11,727"
Research & Development Exp.(In $M),PRU,-,-,-
Capital Expenditure(In $M),PRU,"2,714","3,993","4,134"
"Selling, General & Admin. Exp.(In $M)",PRU,-,-,-
Shareholder’s Equity(In $M),PRU,"34,945","35,991","40,553"
Total Assets(In $M),PRU,"721,266","756,538","793,065"
