,ticker,2023,2024,2025,2026,2027
Revenue(In $M),MMM,"31,889","32,965","34,132","35,032","35,711"
Dividend,MMM,6.19,6.30,6.52,-,-
Dividend Yield (in %),MMM,6.01 %,6.11 %,6.50 %,-,-
EPS,MMM,8.63,9.58,10.44,10.86,11.00
P/E Ratio,MMM,11.78,10.60,9.73,9.35,9.23
EBIT(In $M),MMM,"6,053","6,707","7,223","7,362","7,368"
EBITDA(In $M),MMM,"7,865","8,469","8,968","9,495",-
Net Profit(In $M),MMM,"4,737","5,230","5,623","5,722","5,887"
Net Profit Adjusted(In $M),MMM,"4,726","5,209","5,590","5,722","5,887"
Pre-Tax Profit(In $M),MMM,"5,806","6,473","6,964",-,-
Net Profit (Adjusted)(In $M),MMM,"5,556","6,280","6,710",-,-
EPS (Non-GAAP) ex. SOE(In $),MMM,8.63,9.58,10.44,10.86,11.00
EPS (GAAP)(In $),MMM,8.46,9.46,10.10,10.65,11.00
Gross Income(In $M),MMM,"14,258","15,432","15,801","15,252","15,727"
Cash Flow from Investing(In $M),MMM,"-1,533","-1,516","-1,428","-1,734","-1,786"
Cash Flow from Operations(In $M),MMM,"5,793","6,677","7,238","7,569","7,783"
Cash Flow from Financing(In $M),MMM,"-2,968","-3,165","-2,818","-1,500","-1,500"
Cash Flow per Share(In $),MMM,10.85,12.31,13.46,-,-
Free Cash Flow(In $M),MMM,"4,271","5,066","5,483","5,852","5,998"
Free Cash Flow per Share(In $),MMM,8.22,9.39,10.27,11.02,-
Book Value per Share(In $),MMM,29.23,32.08,36.22,-,-
Net Debt(In $M),MMM,"11,823","10,211","8,011",-,-
Research & Development Exp.(In $M),MMM,"1,856","1,921","2,008","1,910","1,967"
Capital Expenditure(In $M),MMM,"1,691","1,701","1,716","1,734","1,786"
"Selling, General & Admin. Exp.(In $M)",MMM,"6,625","6,758","6,789","6,270","6,392"
Shareholder’s Equity(In $M),MMM,"16,170","17,934","21,568","30,282","34,818"
Total Assets(In $M),MMM,"46,645","48,154","53,492","61,502","66,145"
