,ticker,ttm,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Total revenue(figures in $M),MSFT,204094.0,198270.0,168088.0,143015.0,125843.0
Cost of revenue(figures in $M),MSFT,64984.0,62650.0,52232.0,46078.0,42910.0
Gross profit(figures in $M),MSFT,139110.0,135620.0,115856.0,96937.0,82933.0
Research development(figures in $M),MSFT,26627.0,24512.0,20716.0,19269.0,16876.0
Selling general and administrative(figures in $M),MSFT,29668.0,27725.0,25224.0,24709.0,23098.0
Total operating expenses(figures in $M),MSFT,56295.0,52237.0,45940.0,43978.0,39974.0
Operating income or loss(figures in $M),MSFT,82815.0,83383.0,69916.0,52959.0,42959.0
Interest expense(figures in $M),MSFT,1989.0,2063.0,2346.0,2591.0,2686.0
Total other income/expenses net(figures in $M),MSFT,-650.0,333.0,1186.0,77.0,729.0
Income before tax(figures in $M),MSFT,82588.0,83716.0,71102.0,53036.0,43688.0
Income tax expense(figures in $M),MSFT,15139.0,10978.0,9831.0,8755.0,4448.0
Income from continuing operations(figures in $M),MSFT,67449.0,72738.0,61271.0,44281.0,39240.0
Net income(figures in $M),MSFT,67449.0,72738.0,61271.0,44281.0,39240.0
Net income available to common shareholders(figures in $M),MSFT,67449.0,72738.0,61271.0,44281.0,39240.0
Basic EPS(figures in $M),MSFT,,9.699999999999999e-06,8.119999999999998e-06,5.82e-06,5.11e-06
Diluted EPS(figures in $M),MSFT,,9.65e-06,8.050000000000001e-06,5.76e-06,5.06e-06
Basic average shares(figures in $M),MSFT,,7496.0,7547.0,7610.0,7673.0
Diluted average shares(figures in $M),MSFT,,7540.0,7608.0,7683.0,7753.0
EBITDA(figures in $M),MSFT,,97843.0,81602.0,65755.0,54641.0
