,ticker,2023,2024,2025,2026,2027
Revenue(In $M),MSFT,"211,033","235,120","263,631","299,241","346,229"
Dividend,MSFT,2.61,2.85,3.24,3.49,3.99
Dividend Yield (in %),MSFT,1.00 %,1.09 %,1.26 %,1.40 %,1.52 %
EPS,MSFT,9.59,11.00,12.61,15.13,16.92
P/E Ratio,MSFT,31.82,27.75,24.21,20.18,18.05
EBIT(In $M),MSFT,"87,384","99,418","113,910","131,423","151,648"
EBITDA(In $M),MSFT,"102,227","117,787","135,684","163,722","198,772"
Net Profit(In $M),MSFT,"71,544","81,795","93,433","110,493","122,217"
Net Profit Adjusted(In $M),MSFT,"71,594","81,543","92,844","105,921","122,217"
Pre-Tax Profit(In $M),MSFT,"87,829","100,312","114,399","130,122","151,332"
Net Profit (Adjusted)(In $M),MSFT,"87,293","98,838","113,173","134,500","154,562"
EPS (Non-GAAP) ex. SOE(In $),MSFT,9.59,11.00,12.61,15.13,16.92
EPS (GAAP)(In $),MSFT,9.46,10.84,12.52,15.11,17.52
Gross Income(In $M),MSFT,"145,052","160,303","179,309","209,045","239,084"
Cash Flow from Investing(In $M),MSFT,"-26,096","-33,678","-34,970","-36,402","-40,147"
Cash Flow from Operations(In $M),MSFT,"88,638","105,749","119,352","148,903","168,766"
Cash Flow from Financing(In $M),MSFT,"-40,263","-40,330","-51,834","-49,528","-50,528"
Cash Flow per Share(In $),MSFT,11.46,13.77,15.51,-,-
Free Cash Flow(In $M),MSFT,"59,911","73,375","87,527","102,147","117,633"
Free Cash Flow per Share(In $),MSFT,7.79,9.56,11.48,-,-
Book Value per Share(In $),MSFT,27.63,34.88,44.15,-,-
Net Debt(In $M),MSFT,"-53,230","-81,907","-125,069","-156,885","-144,439"
Research & Development Exp.(In $M),MSFT,"27,596","29,703","32,754","35,636","41,173"
Capital Expenditure(In $M),MSFT,"27,106","31,181","33,750","41,128","52,708"
"Selling, General & Admin. Exp.(In $M)",MSFT,"24,004","24,704","24,046",-,-
Shareholder’s Equity(In $M),MSFT,"204,706","251,692","300,932","366,307","495,547"
Total Assets(In $M),MSFT,"404,373","460,144","504,326","668,244","783,386"
