,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),NI,5850.6,5850.6,4899.6,4681.7,5208.9
Cost of revenue(figures in $M),NI,3599.9,3599.9,2848.3,2695.2,2889.5
Gross profit(figures in $M),NI,2250.7,2250.7,2051.3,1986.5,2319.4
Total operating expenses(figures in $M),NI,1089.1,1089.1,1036.7,1025.1,1014.2
Operating income or loss(figures in $M),NI,1161.6,1161.6,1014.6,961.4,1305.2
Interest expense(figures in $M),NI,360.5,360.5,332.4,361.9,371.0
Total other income/expenses net(figures in $M),NI,152.1,152.1,29.1,-627.5,-427.4
Income before tax(figures in $M),NI,956.4,956.4,706.6,-31.3,506.6
Income tax expense(figures in $M),NI,164.6,164.6,117.8,-17.1,123.5
Income from continuing operations(figures in $M),NI,791.8,791.8,588.8,-14.2,383.1
Net income(figures in $M),NI,804.1,804.1,584.9,-17.6,383.1
Net income available to common shareholders(figures in $M),NI,749.0,749.0,529.8,-72.7,328.0
Basic EPS(figures in $M),NI,,1.8400000000000002e-06,1.35e-06,-1.9e-07,8.8e-07
Diluted EPS(figures in $M),NI,,1.7e-06,1.2700000000000001e-06,-1.9e-07,8.7e-07
Basic average shares(figures in $M),NI,,407.1,393.6,384.3,374.6
Diluted average shares(figures in $M),NI,,442.7,417.3,384.3,376.0
EBITDA(figures in $M),NI,,2137.7,1787.4,1056.5,1595.0
