,ticker,2023,2024,2025,2026,2027
Revenue(In $M),NI,"5,788","6,035","6,306","7,094","7,359"
Dividend,NI,1.01,1.07,1.14,1.23,1.31
Dividend Yield (in %),NI,3.62 %,3.86 %,4.10 %,4.42 %,4.71 %
EPS,NI,1.55,1.67,1.79,1.93,2.06
P/E Ratio,NI,18.26,17.01,15.87,14.68,13.78
EBIT(In $M),NI,"1,317","1,521","1,666","1,992","2,166"
EBITDA(In $M),NI,"2,191","2,468","2,703","3,140","3,388"
Net Profit(In $M),NI,699,799,846,994,"1,086"
Net Profit Adjusted(In $M),NI,699,799,846,994,"1,086"
Pre-Tax Profit(In $M),NI,897,"1,064","1,087","1,167","1,243"
Net Profit (Adjusted)(In $M),NI,886,"1,054","1,156",-,-
EPS (Non-GAAP) ex. SOE(In $),NI,1.55,1.67,1.79,1.93,2.06
EPS (GAAP)(In $),NI,1.53,1.64,1.74,1.95,2.07
Gross Income(In $M),NI,"3,995","4,249","4,489",-,-
Cash Flow from Investing(In $M),NI,"-2,225","-1,850","-3,275",-,-
Cash Flow from Operations(In $M),NI,"1,571","1,781","1,929",-,-
Cash Flow from Financing(In $M),NI,"1,007",-372,936,-,-
Cash Flow per Share(In $),NI,3.48,3.69,4.09,-,-
Free Cash Flow(In $M),NI,"-1,503",-580,-899,-,-
Free Cash Flow per Share(In $),NI,-,-,-,-,-
Book Value per Share(In $),NI,17.09,17.48,18.39,-,-
Net Debt(In $M),NI,"12,337","13,798","15,437",-,-
Research & Development Exp.(In $M),NI,-,-,-,-,-
Capital Expenditure(In $M),NI,"3,344","2,854","3,295","2,851","2,777"
"Selling, General & Admin. Exp.(In $M)",NI,"1,760","1,785","1,811",-,-
Shareholder’s Equity(In $M),NI,"7,185","7,771","8,318","11,097",-
Total Assets(In $M),NI,"27,377","29,303","31,700",-,-
