,ticker,2023,2024,2025,2026,2027
Revenue(In $M),CSX,"14,788","15,078","15,543","16,279","17,067"
Dividend,CSX,0.45,0.49,0.53,0.48,0.50
Dividend Yield (in %),CSX,1.52 %,1.66 %,1.75 %,1.64 %,-
EPS,CSX,1.93,2.07,2.22,2.38,2.64
P/E Ratio,CSX,16.08,14.92,13.94,13.03,11.75
EBIT(In $M),CSX,"5,811","5,974","6,162","6,445","6,876"
EBITDA(In $M),CSX,"7,458","7,684","7,909","8,334","8,804"
Net Profit(In $M),CSX,"3,890","3,992","4,168","4,291","4,588"
Net Profit Adjusted(In $M),CSX,"3,922","4,041","4,235","4,514",-
Pre-Tax Profit(In $M),CSX,"5,152","5,309","5,569",-,-
Net Profit (Adjusted)(In $M),CSX,"5,211","5,467","5,777",-,-
EPS (Non-GAAP) ex. SOE(In $),CSX,1.93,2.07,2.22,2.38,2.64
EPS (GAAP)(In $),CSX,1.94,2.09,2.26,-,-
Gross Income(In $M),CSX,"7,354","7,529","7,758",-,-
Cash Flow from Investing(In $M),CSX,"-2,289","-2,109","-2,114","-2,171","-2,271"
Cash Flow from Operations(In $M),CSX,"5,474","5,747","5,947","6,172","6,513"
Cash Flow from Financing(In $M),CSX,"-4,206","-3,378","-3,283","-3,321","-3,594"
Cash Flow per Share(In $),CSX,2.71,2.89,3.15,-,-
Free Cash Flow(In $M),CSX,"3,108","3,481","3,468","3,881","4,222"
Free Cash Flow per Share(In $),CSX,1.47,1.71,1.70,2.10,2.34
Book Value per Share(In $),CSX,5.87,6.31,17.09,-,-
Net Debt(In $M),CSX,"12,190","10,643","11,145",-,-
Research & Development Exp.(In $M),CSX,-,-,-,-,-
Capital Expenditure(In $M),CSX,"2,246","2,161","2,143","2,500","2,500"
"Selling, General & Admin. Exp.(In $M)",CSX,-,-,-,-,-
Shareholder’s Equity(In $M),CSX,"12,392","12,741","9,367","11,156","10,940"
Total Assets(In $M),CSX,"41,671","42,642","42,573","42,828","43,926"
