,ticker,ttm,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Total revenue(figures in $M),GPS,15616.0,15616.0,16670.0,13800.0,16383.0
Cost of revenue(figures in $M),GPS,10257.0,10257.0,10033.0,9095.0,10250.0
Gross profit(figures in $M),GPS,5359.0,5359.0,6637.0,4705.0,6133.0
Total operating expenses(figures in $M),GPS,5428.0,5428.0,5827.0,5567.0,5559.0
Operating income or loss(figures in $M),GPS,-69.0,-69.0,810.0,-862.0,574.0
Interest expense(figures in $M),GPS,88.0,88.0,167.0,192.0,76.0
Total other income/expenses net(figures in $M),GPS,,,-325.0,-58.0,
Income before tax(figures in $M),GPS,-139.0,-139.0,323.0,-1102.0,528.0
Income tax expense(figures in $M),GPS,63.0,63.0,67.0,-437.0,177.0
Income from continuing operations(figures in $M),GPS,-202.0,-202.0,256.0,-665.0,351.0
Net income(figures in $M),GPS,-202.0,-202.0,256.0,-665.0,351.0
Net income available to common shareholders(figures in $M),GPS,-202.0,-202.0,256.0,-665.0,351.0
Basic EPS(figures in $M),GPS,,,6.800000000000001e-07,-1.7800000000000001e-06,9.300000000000001e-07
Diluted EPS(figures in $M),GPS,,,6.7e-07,-1.7800000000000001e-06,9.300000000000001e-07
Basic average shares(figures in $M),GPS,,,376.0,374.0,376.0
Diluted average shares(figures in $M),GPS,,,383.0,374.0,378.0
EBITDA(figures in $M),GPS,,471.0,1314.0,-355.0,1131.0
