,ticker,2023,2024,2025,2026
Revenue(In $M),GPS,"15,738","15,139","15,313","15,635"
Dividend,GPS,0.51,0.65,0.66,0.59
Dividend Yield (in %),GPS,5.13 %,6.48 %,6.58 %,7.34 %
EPS,GPS,-0.11,0.60,0.90,1.05
P/E Ratio,GPS,-78.30,14.63,9.68,8.34
EBIT(In $M),GPS,73,350,480,542
EBITDA(In $M),GPS,596,882,"1,009","1,099"
Net Profit(In $M),GPS,-52,210,313,364
Net Profit Adjusted(In $M),GPS,-48,210,313,364
Pre-Tax Profit(In $M),GPS,-14,286,422,490
Net Profit (Adjusted)(In $M),GPS,-40,330,452,574
EPS (Non-GAAP) ex. SOE(In $),GPS,-0.11,0.60,0.90,1.05
EPS (GAAP)(In $),GPS,-0.13,0.54,0.85,1.02
Gross Income(In $M),GPS,"5,756","5,572","5,723","6,024"
Cash Flow from Investing(In $M),GPS,-602,-525,-525,-
Cash Flow from Operations(In $M),GPS,662,641,824,-
Cash Flow from Financing(In $M),GPS,124,-556,-217,-
Cash Flow per Share(In $),GPS,1.49,1.86,2.23,2.24
Free Cash Flow(In $M),GPS,-79,235,338,-
Free Cash Flow per Share(In $),GPS,-0.24,1.08,1.09,-
Book Value per Share(In $),GPS,6.68,5.77,5.99,5.99
Net Debt(In $M),GPS,761,"1,461","1,451","1,896"
Research & Development Exp.(In $M),GPS,-,-,-,-
Capital Expenditure(In $M),GPS,660,517,537,535
"Selling, General & Admin. Exp.(In $M)",GPS,-,"5,194","5,218",-
Shareholder’s Equity(In $M),GPS,"2,467","2,195","2,153","1,796"
Total Assets(In $M),GPS,"12,452","10,959","10,952",-
