,2018,2017,2016,2015,2014,ticker
Current ratio,4.367,7.787,334.189,7.071,165.090,STI
Quick ratio,4.367,7.787,334.189,7.071,165.090,STI
Cash ratio,0.841,1.404,57.865,1.184,38.816,STI
Days of sales outstanding,0,0,0,0,0,STI
Days of inventory outstanding,0,0,0,0,0,STI
Days of payables outstanding,0,0,0,0,0,STI
Gross profit margin,1,1,1,1,1,STI
Operating profit margin,0.464,0.500,0.516,0.568,0.471,STI
Pretax profit margin,0.571,0.500,0.516,0.568,0.471,STI
Net profit margin,0.464,0.404,0.360,0.406,0.367,STI
Effective tax rate,0.160,0.189,0.299,0.282,0.216,STI
Return on assets,0.013,0.011,0.009,0.010,0.009,STI
Return on equity,0.114,0.090,0.080,0.082,0.077,STI
Return on capital employed,0.013,0.014,0.013,0.015,0.012,STI
Net income per EBT,0.811,0.808,0.698,0.714,0.779,STI
Ebt per ebit,1.232,1,1,1,1,STI
Ebit per revenue,0.464,0.500,0.516,0.568,0.471,STI
Debt ratio,0.887,0.878,0.885,0.877,0.879,STI
Debt equity ratio,7.877,7.188,7.675,7.142,7.273,STI
Long term debt to capitalization,0.383,0.280,0.332,0.265,0.361,STI
Total debt to capitalization,0.495,0.367,0.351,0.358,0.361,STI
Interest coverage,2.278,3.732,4.833,5.403,4.188,STI
Cash flow to debt ratio,0.108,0.378,-0.053,0.267,-0.091,STI
Company equity multiplier,8.877,8.188,8.675,8.142,8.273,STI
Receivables turnover,0,0,0,0,0,STI
Payables turnover,0,0,0,0,0,STI
Inventory turnover,0,0,0,0,0,STI
Fixed asset turnover,2.958,3.249,3.355,3.172,3.210,STI
Asset turnover,0.028,0.027,0.025,0.025,0.025,STI
Operating cash flow per share,5.574,11.445,-1.366,6.790,-2.241,STI
Free cash flow per share,4.825,10.593,-1.933,6.429,-2.519,STI
Cash per share,84.480,79.628,74.393,64.921,66.349,STI
Payout ratio,0.337,0.318,0.300,0.279,0.231,STI
Operating cash flow sales ratio,0.429,0.978,-0.130,0.734,-0.244,STI
Free cash flow operating cash flow ratio,0.866,0.926,1.416,0.947,1.124,STI
Cash flow coverage ratios,0.108,0.378,-0.053,0.267,-0.091,STI
Short term coverage ratios,0.293,1.152,-0.671,0.756,-591,STI
Capital expenditure coverage ratio,-7.446,-13.437,2.406,-18.796,8.041,STI
Dividend paid and capex coverage ratio,4.347,17.601,-2.423,9.904,-4.511,STI
Dividend payout ratio,0.337,0.318,0.300,0.279,0.231,STI
Price book value ratio,0.957,1.236,1.158,0.941,0.961,STI
Price to book ratio,0.957,1.236,1.158,0.941,0.961,STI
Price to sales ratio,3.883,5.519,5.239,4.630,4.567,STI
Price earnings ratio,8.378,13.678,14.564,11.410,12.459,STI
Price to free cash flows ratio,10.453,6.097,-28.372,6.663,-16.631,STI
Price to operating cash flows ratio,9.049,5.643,-40.162,6.309,-18.699,STI
Price cash flow ratio,9.049,5.643,-40.162,6.309,-18.699,STI
Price earnings to growth ratio,0.305,0.539,46.639,0.980,0.370,STI
Price sales ratio,3.883,5.519,5.239,4.630,4.567,STI
Dividend yield,0.040,0.023,0.021,0.024,0.019,STI
Enterprise value multiple,7.329,8.681,8.150,7.159,7.449,STI
Price fair value,0.957,1.236,1.158,0.941,0.961,STI
