,ticker,2023,2024,2025,2026
Revenue(In $M),FITB,"8,996","9,028","8,879",-
Dividend,FITB,1.35,1.42,1.42,-
Dividend Yield (in %),FITB,5.04 %,5.36 %,6.12 %,-
EPS,FITB,3.45,3.52,3.49,3.66
P/E Ratio,FITB,6.99,6.85,6.92,6.59
EBIT(In $M),FITB,"4,109","4,061","3,133",-
EBITDA(In $M),FITB,-,-,-,-
Net Profit(In $M),FITB,"2,403","2,375","2,368",-
Net Profit Adjusted(In $M),FITB,"2,430","2,395","2,403",-
Pre-Tax Profit(In $M),FITB,"3,241","3,214","3,214",-
Net Profit (Adjusted)(In $M),FITB,"3,269","3,256","3,115",-
EPS (Non-GAAP) ex. SOE(In $),FITB,3.49,3.53,3.66,-
EPS (GAAP)(In $),FITB,3.45,3.52,3.49,3.66
Gross Income(In $M),FITB,-,-,-,-
Cash Flow from Investing(In $M),FITB,-,-,-,-
Cash Flow from Operations(In $M),FITB,-,-,-,-
Cash Flow from Financing(In $M),FITB,-,-,-,-
Cash Flow per Share(In $),FITB,-,-,-,-
Free Cash Flow(In $M),FITB,-,-,-,-
Free Cash Flow per Share(In $),FITB,-,-,-,-
Book Value per Share(In $),FITB,26.13,28.80,29.95,-
Net Debt(In $M),FITB,-,-,-,-
Research & Development Exp.(In $M),FITB,462,487,535,-
Capital Expenditure(In $M),FITB,-,-,-,-
"Selling, General & Admin. Exp.(In $M)",FITB,-,-,-,-
Shareholder’s Equity(In $M),FITB,"18,370","19,280",-,-
Total Assets(In $M),FITB,"210,470","214,467",-,-
