,ticker,2023,2024,2025,2026,2027
Revenue(In $M),DUK,"28,680","29,513","30,501","30,776","31,543"
Dividend,DUK,4.10,4.23,4.36,4.52,4.70
Dividend Yield (in %),DUK,4.35 %,4.48 %,4.62 %,4.76 %,4.82 %
EPS,DUK,5.64,5.99,6.34,6.70,7.11
P/E Ratio,DUK,17.30,16.27,15.37,14.56,13.71
EBIT(In $M),DUK,"7,622","8,129","8,582","9,281","9,856"
EBITDA(In $M),DUK,"12,996","13,727","14,511","14,869","15,388"
Net Profit(In $M),DUK,"4,370","4,649","4,934","5,219","5,547"
Net Profit Adjusted(In $M),DUK,"4,370","4,649","4,934","5,219","5,547"
Pre-Tax Profit(In $M),DUK,"4,932","5,403","5,822","5,943","6,315"
Net Profit (Adjusted)(In $M),DUK,"5,312","5,697","5,999",-,-
EPS (Non-GAAP) ex. SOE(In $),DUK,5.64,5.99,6.34,6.70,7.11
EPS (GAAP)(In $),DUK,5.57,5.92,6.31,6.64,7.07
Gross Income(In $M),DUK,"19,622","20,498","21,304",-,-
Cash Flow from Investing(In $M),DUK,"-9,250","-11,583","-12,133","-11,775","-12,775"
Cash Flow from Operations(In $M),DUK,"10,018","10,617","11,235","11,451","12,133"
Cash Flow from Financing(In $M),DUK,-406,118,178,"2,864","3,575"
Cash Flow per Share(In $),DUK,12.11,12.84,14.01,13.49,13.97
Free Cash Flow(In $M),DUK,301,894,407,-,-
Free Cash Flow per Share(In $),DUK,-3.40,-3.06,-4.28,-3.72,-4.05
Book Value per Share(In $),DUK,64.83,66.57,68.50,-,-
Net Debt(In $M),DUK,"75,162","79,383","84,034","85,921","91,210"
Research & Development Exp.(In $M),DUK,-,-,-,-,-
Capital Expenditure(In $M),DUK,"11,848","11,875","12,833","13,017","13,538"
"Selling, General & Admin. Exp.(In $M)",DUK,"6,992","7,095","7,046",-,-
Shareholder’s Equity(In $M),DUK,"51,381","53,226","54,896","54,390","55,960"
Total Assets(In $M),DUK,"178,793","184,429","190,841","198,254","205,024"
