,2019,2018,2017,2016,2015,ticker
Current ratio,1.084,1.132,1.347,1.303,1.181,UTX
Quick ratio,0.725,0.762,0.885,0.851,0.784,UTX
Cash ratio,0.213,0.196,0.368,0.327,0.313,UTX
Days of sales outstanding,83.890,97.462,76.828,73.205,69.313,UTX
Days of inventory outstanding,70.323,73.845,81.595,76.607,73.778,UTX
Operating cycle,154.214,171.307,158.423,149.812,143.092,UTX
Days of payables outstanding,69.418,81.147,79.101,65.860,62.351,UTX
Cash conversion cycle,84.796,90.160,79.322,83.952,80.741,UTX
Gross profit margin,0.262,0.251,0.261,0.276,0.283,UTX
Operating profit margin,0.116,0.129,0.136,0.144,0.130,UTX
Pretax profit margin,0.107,0.125,0.130,0.125,0.115,UTX
Net profit margin,0.072,0.079,0.076,0.088,0.136,UTX
Effective tax rate,0.278,0.317,0.366,0.238,0.326,UTX
Return on assets,0.040,0.039,0.047,0.056,0.087,UTX
Return on equity,0.133,0.137,0.154,0.183,0.278,UTX
Return on capital employed,0.085,0.083,0.112,0.121,0.112,UTX
Net income per EBT,0.672,0.636,0.586,0.709,1.176,UTX
Ebt per ebit,0.920,0.968,0.954,0.868,0.887,UTX
Ebit per revenue,0.116,0.129,0.136,0.144,0.130,UTX
Debt ratio,0.701,0.714,0.694,0.693,0.687,UTX
Debt equity ratio,2.345,2.491,2.273,2.253,2.198,UTX
Long term debt to capitalization,0.475,0.517,0.458,0.440,0.414,UTX
Total debt to capitalization,0.490,0.526,0.462,0.447,0.425,UTX
Interest coverage,5.563,8.238,8.953,7.912,0,UTX
Cash flow to debt ratio,0.221,0.148,0.222,0.174,0.315,UTX
Company equity multiplier,3.345,3.491,3.273,3.253,3.198,UTX
Receivables turnover,4.351,3.745,4.751,4.986,5.266,UTX
Payables turnover,5.258,4.498,4.614,5.542,5.854,UTX
Inventory turnover,5.190,4.943,4.473,4.765,4.947,UTX
Fixed asset turnover,5.000,5.408,5.874,6.251,6.424,UTX
Asset turnover,0.551,0.495,0.617,0.638,0.641,UTX
Operating cash flow per share,10.282,7.804,7.047,4.697,7.227,UTX
Free cash flow per share,7.265,4.962,4.051,2.170,4.862,UTX
Cash per share,8.540,7.594,11.244,8.664,8.011,UTX
Payout ratio,0.441,0.412,0.456,0.409,0.287,UTX
Operating cash flow sales ratio,0.115,0.095,0.094,0.068,0.114,UTX
Free cash flow operating cash flow ratio,0.707,0.636,0.575,0.462,0.673,UTX
Cash flow coverage ratios,0.221,0.148,0.222,0.174,0.315,UTX
Short term coverage ratios,3.758,4.304,14.365,6.456,6.893,UTX
Capital expenditure coverage ratio,-3.938,-3.324,-2.796,-2.284,-3.864,UTX
Dividend paid and capex coverage ratio,47.758,23.590,93.850,10.486,11.998,UTX
Dividend payout ratio,0.441,0.412,0.456,0.409,0.287,UTX
Price book value ratio,3.097,2.244,3.443,3.284,3.101,UTX
Price to book ratio,3.097,2.244,3.443,3.284,3.101,UTX
Price to sales ratio,1.679,1.297,1.704,1.582,1.513,UTX
Price earnings ratio,23.366,16.371,22.395,17.914,11.153,UTX
Price to free cash flows ratio,20.615,21.458,31.492,50.506,19.760,UTX
Price to operating cash flows ratio,14.565,13.644,18.104,23.339,13.293,UTX
Price cash flow ratio,14.565,13.644,18.104,23.339,13.293,UTX
Price earnings to growth ratio,-16.026,1.155,-3.242,-0.618,0.424,UTX
Price sales ratio,1.679,1.297,1.704,1.582,1.513,UTX
Dividend yield,0.019,0.025,0.020,0.023,0.026,UTX
Enterprise value multiple,12.260,10.801,11.331,10.837,8.463,UTX
Price fair value,3.097,2.244,3.443,3.284,3.101,UTX
