,ticker,ttm,2022-07-31,2021-07-31,2020-07-31,2019-07-31
Total revenue(figures in $M),CPB,9177.0,8562.0,8476.0,8691.0,8107.0
Cost of revenue(figures in $M),CPB,6348.0,5935.0,5665.0,5692.0,5414.0
Gross profit(figures in $M),CPB,2829.0,2627.0,2811.0,2999.0,2693.0
Research development(figures in $M),CPB,87.0,87.0,84.0,93.0,91.0
Selling general and administrative(figures in $M),CPB,1419.0,1351.0,1415.0,1569.0,1452.0
Total operating expenses(figures in $M),CPB,1547.0,1438.0,1499.0,1662.0,1543.0
Operating income or loss(figures in $M),CPB,1282.0,1189.0,1312.0,1337.0,1150.0
Interest expense(figures in $M),CPB,188.0,189.0,210.0,345.0,356.0
Total other income/expenses net(figures in $M),CPB,-32.0,-26.0,233.0,-230.0,-171.0
Income before tax(figures in $M),CPB,1064.0,975.0,1336.0,766.0,625.0
Income tax expense(figures in $M),CPB,251.0,218.0,328.0,174.0,151.0
Income from continuing operations(figures in $M),CPB,813.0,757.0,1008.0,592.0,474.0
Net income(figures in $M),CPB,813.0,757.0,1002.0,1628.0,211.0
Net income available to common shareholders(figures in $M),CPB,813.0,757.0,1002.0,1628.0,211.0
Basic EPS(figures in $M),CPB,,2.5099999999999997e-06,3.31e-06,5.39e-06,7e-07
Diluted EPS(figures in $M),CPB,,2.5099999999999997e-06,3.29e-06,5.36e-06,7e-07
Basic average shares(figures in $M),CPB,,301.0,303.0,302.0,301.0
Diluted average shares(figures in $M),CPB,,302.0,305.0,304.0,302.0
EBITDA(figures in $M),CPB,,1526.0,1629.0,1665.0,981.0
