,ticker,2023,2024,2025,2026,2027
Revenue(In $M),CPB,"9,375","9,485","9,596","9,819","9,914"
Dividend,CPB,1.50,1.55,-,1.65,1.71
Dividend Yield (in %),CPB,2.79 %,2.87 %,2.96 %,-,-
EPS,CPB,3.01,3.16,3.34,3.48,3.55
P/E Ratio,CPB,18.04,17.21,16.26,15.62,15.30
EBIT(In $M),CPB,"1,379","1,430","1,470","1,519","1,537"
EBITDA(In $M),CPB,"1,730","1,780","1,821","1,902","1,924"
Net Profit(In $M),CPB,904,942,977,"1,031","1,045"
Net Profit Adjusted(In $M),CPB,904,942,977,-,-
Pre-Tax Profit(In $M),CPB,"1,187","1,240","1,286","1,356","1,375"
Net Profit (Adjusted)(In $M),CPB,"1,195","1,239","1,318","1,356","1,375"
EPS (Non-GAAP) ex. SOE(In $),CPB,3.01,3.16,3.34,3.48,3.55
EPS (GAAP)(In $),CPB,2.95,3.08,3.27,-,-
Gross Income(In $M),CPB,"2,927","3,032","3,103",-,-
Cash Flow from Investing(In $M),CPB,-325,-364,-364,-,-
Cash Flow from Operations(In $M),CPB,"1,438","1,489","1,518",-,-
Cash Flow from Financing(In $M),CPB,-863,-771,-811,-,-
Cash Flow per Share(In $),CPB,4.28,4.59,-,4.76,4.92
Free Cash Flow(In $M),CPB,999,"1,035","1,053",-,-
Free Cash Flow per Share(In $),CPB,2.83,3.10,3.27,-,-
Book Value per Share(In $),CPB,12.24,13.18,-,15.34,16.42
Net Debt(In $M),CPB,"4,213","3,884","3,542","3,314","3,032"
Research & Development Exp.(In $M),CPB,88,93,93,-,-
Capital Expenditure(In $M),CPB,324,374,380,403,406
"Selling, General & Admin. Exp.(In $M)",CPB,"1,511","1,543","1,570",-,-
Shareholder’s Equity(In $M),CPB,"3,863","4,168","4,474","4,542","4,827"
Total Assets(In $M),CPB,"12,160","12,375","12,616",-,-
