,ticker,2023,2024,2025,2026,2027
Revenue(In $M),DVN,"15,961","14,629","14,853","13,050","13,275"
Dividend,DVN,0.80,0.88,3.52,0.64,-
Dividend Yield (in %),DVN,1.45 %,1.74 %,4.79 %,1.29 %,-
EPS,DVN,6.40,6.86,6.75,6.21,6.12
P/E Ratio,DVN,7.54,7.03,7.16,7.78,7.89
EBIT(In $M),DVN,"5,767","6,208","5,732","4,958","4,908"
EBITDA(In $M),DVN,"8,274","8,674","8,406","8,124","8,079"
Net Profit(In $M),DVN,"4,226","4,471","4,286","3,872","3,765"
Net Profit Adjusted(In $M),DVN,"4,202","4,457","4,292","3,872","3,765"
Pre-Tax Profit(In $M),DVN,"5,406","5,758","5,453","4,831","4,701"
Net Profit (Adjusted)(In $M),DVN,"5,437","5,819","5,363","4,831","4,701"
EPS (Non-GAAP) ex. SOE(In $),DVN,6.40,6.86,6.75,6.21,6.12
EPS (GAAP)(In $),DVN,6.63,7.03,6.66,6.21,6.12
Gross Income(In $M),DVN,"5,092","4,892","4,952",-,-
Cash Flow from Investing(In $M),DVN,"-3,731","-3,801","-3,820","-3,857","-3,827"
Cash Flow from Operations(In $M),DVN,"7,260","7,488","7,319","7,068","7,254"
Cash Flow from Financing(In $M),DVN,"-2,187","-1,974","-2,460","-1,523","-1,756"
Cash Flow per Share(In $),DVN,10.89,11.50,11.45,11.24,11.54
Free Cash Flow(In $M),DVN,"3,624","3,770","3,346","3,082",-
Free Cash Flow per Share(In $),DVN,4.38,4.82,5.66,-,-
Book Value per Share(In $),DVN,19.19,21.94,24.72,-,-
Net Debt(In $M),DVN,"4,386","3,573","3,038","-3,992",-
Research & Development Exp.(In $M),DVN,-,-,-,-,-
Capital Expenditure(In $M),DVN,"3,712","3,815","3,823","3,831","3,794"
"Selling, General & Admin. Exp.(In $M)",DVN,"5,304","5,383","5,541",-,-
Shareholder’s Equity(In $M),DVN,"13,093","15,439","15,914","16,850","17,497"
Total Assets(In $M),DVN,"26,021","28,564","29,424","33,359","35,435"
